Location	Chao1	Temperature
Non-saline	2223.141791	0
Non-saline	507.8378378	0.1
Non-saline	2404.371429	0.1
Non-saline	333.28125	0.15
Non-saline	281.3947368	0.15
Non-saline	517.2285714	0.2
Non-saline	521.0697674	0.2
Non-saline	1335.109005	0.2
Non-saline	327.037037	0.32
Non-saline	1359.047244	0.33
Non-saline	357.5882353	0.4
Non-saline	348.4516129	0.4
Non-saline	260.5	0.4
Non-saline	390.4347826	0.4
Non-saline	1018	0.4
Saline	972.9333333	0.45
Non-saline	348.78125	0.5
Non-saline	256.6216216	0.5
Non-saline	155.75	0.5
Non-saline	330.125	0.5
Saline	645.0096154	0.5
Non-saline	1097.618321	0.55
Non-saline	879.0495868	0.56
Non-saline	532.4727273	0.56
Non-saline	429.328125	0.6
Non-saline	609.9230769	0.6
Non-saline	302.4102564	0.62
Non-saline	375.8333333	0.65
Non-saline	245.0526316	0.7
Non-saline	277.0555556	0.7
Non-saline	179.9285714	0.7
Non-saline	383.7317073	0.7
Non-saline	592.2173913	0.7
Non-saline	357.2325581	0.71
Non-saline	397.2162162	0.72
Non-saline	296.75	0.73
Non-saline	371.25	0.75
Non-saline	172.047619	0.75
Non-saline	1199.519084	0.76
Non-saline	1342.008	0.76
Non-saline	1180.123967	0.77
Non-saline	1052.006536	0.78
Non-saline	2739.239216	0.85
Non-saline	347.9032258	0.92
Non-saline	1012.76087	0.93
Non-saline	1177.125	0.96
Non-saline	443.4716981	0.97
Non-saline	282.5	0.97
Non-saline	196.1428571	1
Non-saline	1332.648148	1.02
Non-saline	453.4545455	1.11
Non-saline	430.4477612	1.11
Non-saline	342.0909091	1.18
Non-saline	1153.75	1.19
Non-saline	207.125	1.2
Non-saline	214.5769231	1.2
Non-saline	335.8571429	1.3
Non-saline	284.6764706	1.3
Non-saline	150.5714286	1.3
Non-saline	190.0555556	1.3
Non-saline	685.2535211	1.3
Non-saline	192.125	1.3
Non-saline	1243.051282	1.34
Non-saline	381	1.37
Non-saline	82.25	1.4
Non-saline	329	1.41
Non-saline	288.1764706	1.5
Non-saline	791.5231788	1.53
Non-saline	420.9767442	1.59
Non-saline	300.44	1.6
Non-saline	2180.096774	1.6
Non-saline	371.3414634	1.61
Non-saline	380.0681818	1.67
Saline	428.5844156	1.7723
Saline	953.3984375	1.8
Non-saline	380.75	1.81
Non-saline	437.9183673	1.83
Non-saline	1901.542373	1.86
Non-saline	335.1428571	1.87
Non-saline	104.5454545	1.9
Non-saline	122.1428571	1.9
Non-saline	900.625	1.9
Non-saline	942.8	1.9
Non-saline	390.06	1.9
Saline	158.75	1.9
Non-saline	358.6382979	1.9
Non-saline	1271.132813	1.92
Non-saline	409.2857143	1.92
Non-saline	1345.007874	1.93
Non-saline	336.5714286	1.94
Non-saline	870.3092784	1.95
Saline	100.7692308	2
Saline	134	2
Non-saline	1374.80198	2.03
Non-saline	477.0576923	2.03
Saline	163.5	2.0347
Saline	308.9782609	2.0347
Non-saline	361.8139535	2.05
Non-saline	383.5263158	2.06
Non-saline	513.7169811	2.08
Saline	499.3134328	2.139
Non-saline	387.3636364	2.16
Non-saline	293.4054054	2.2
Non-saline	299.9655172	2.21
Saline	373.0188679	2.2251
Saline	400.9	2.2251
Non-saline	518.1818182	2.23
Saline	311.3448276	2.2397
Non-saline	264.0238095	2.3
Non-saline	991.1730769	2.3
Saline	223.6666667	2.3536
Non-saline	363.5625	2.37
Non-saline	399.3846154	2.37
Non-saline	505.6875	2.39
Non-saline	241.1666667	2.4
Non-saline	159.3684211	2.4
Non-saline	198.1363636	2.4
Non-saline	271.5416667	2.4
Non-saline	400.1395349	2.43
Non-saline	898.75	2.44
Non-saline	412.6764706	2.45
Non-saline	213.3448276	2.47
Non-saline	157.9473684	2.47
Saline	135	2.5
Non-saline	493	2.5141
