Chao1	Latitude	Location
221	78.172	Non-saline
246.3225806	78.165	Non-saline
276.9230769	78.153	Non-saline
434.7272727	78.152	Non-saline
264.0344828	78.152	Non-saline
291.0789474	78.151	Non-saline
419.4871795	78.148	Non-saline
274.6851852	78.148	Non-saline
322.4468085	78.141	Non-saline
237.1578947	78.139	Non-saline
525.0454545	78.135	Non-saline
260.6666667	78.135	Non-saline
303.2857143	78.134	Non-saline
399.1333333	78.132	Non-saline
337.4565217	78.127	Non-saline
343.25	78.122	Non-saline
331.625	78.122	Non-saline
190.75	78.121	Non-saline
424.5178571	78.12	Non-saline
540.0410959	78.119	Non-saline
394.85	78.113	Non-saline
640.6962025	78.112	Non-saline
960.3978495	78.11	Non-saline
402.1132075	78.109	Non-saline
285.4102564	78.102	Non-saline
413.375	78.101	Non-saline
416.8125	78.096	Non-saline
511.0149254	78.095	Non-saline
442.1886792	78.094	Non-saline
203.6666667	78.093	Non-saline
543.3333333	78.093	Non-saline
158.7142857	78.092	Non-saline
363.1212121	78.09	Non-saline
395.9411765	78.087	Non-saline
371.0277778	78.087	Non-saline
584.1428571	78.086	Non-saline
253.037037	78.086	Non-saline
283	78.083	Non-saline
405.326087	78.079	Non-saline
423.8333333	78.079	Non-saline
397.0526316	78.079	Non-saline
369.5185185	78.078	Non-saline
650.1351351	78.078	Non-saline
361.2777778	78.078	Non-saline
298.6756757	78.077	Non-saline
437.5652174	78.075	Non-saline
437.7258065	78.074	Non-saline
378.5294118	78.074	Non-saline
479.3478261	78.074	Non-saline
389.4	78.074	Non-saline
616.8965517	78.073	Non-saline
677.1797753	78.073	Non-saline
418.0625	78.073	Non-saline
343.3409091	78.073	Non-saline
532.3538462	78.072	Non-saline
768.6666667	78.071	Non-saline
1037.56	78.07	Non-saline
493.877551	78.068	Non-saline
403.9767442	78.068	Animal
316	78.066	Non-saline
679.0416667	78.066	Non-saline
487.3733333	78.065	Non-saline
436	78.065	Non-saline
767.6785714	78.063	Non-saline
357.6764706	78.061	Non-saline
712.9285714	78.059	Non-saline
580.56	78.059	Non-saline
678.8666667	78.059	Non-saline
509.0697674	78.058	Non-saline
552.9811321	78.058	Non-saline
523.877551	78.058	Non-saline
462.6666667	78.058	Non-saline
650.8032787	78.057	Non-saline
835.575	78.057	Non-saline
473	78.056	Non-saline
859.8947368	78.056	Non-saline
723.1780822	78.056	Animal
950.3666667	78.056	Non-saline
848.024	78.053	Non-saline
588.5964912	78.053	Non-saline
606.62	78.049	Non-saline
653.220339	78.048	Non-saline
369.2461538	78.048	Non-saline
236.6363636	78.047	Non-saline
1086.25	78.047	Non-saline
382.2666667	78.047	Non-saline
1134.196429	78.047	Non-saline
825.6947368	78.047	Non-saline
472.4727273	78.046	Non-saline
383.6666667	78.044	Non-saline
269	78.044	Non-saline
710.4788732	78.043	Non-saline
459.3571429	78.042	Non-saline
449.7058824	78.042	Non-saline
182.6470588	78.04	Non-saline
538.4	78.04	Non-saline
473.8421053	78.039	Non-saline
624.7540984	78.039	Non-saline
745.2535211	78.036	Non-saline
