Chao1	Latitude	Location
573.9322034	37.939848	Distal gut
133.5	37.939848	Distal gut
804.2465753	37.939848	Distal gut
231.5769231	37.939848	Distal gut
831.6774194	37.939848	Distal gut
66	37.939848	Distal gut
67.5	37.939848	Distal gut
355.0243902	37.939848	Distal gut
273.4285714	37.939848	Distal gut
863.48	37.939848	Distal gut
141.9375	37.939848	Distal gut
473	37.939848	Distal gut
724.625	37.939848	Distal gut
365.7906977	37.939848	Distal gut
156.3	37.939848	Distal gut
120	37.939848	Distal gut
166.8823529	37.939848	Distal gut
447.5490196	37.939848	Distal gut
417.7857143	37.939848	Distal gut
313.64	37.939848	Distal gut
827.925	37.939848	Distal gut
587.875	37.939848	Distal gut
899.5590551	37.939848	Distal gut
681.0638298	37.939848	Distal gut
153.7142857	37.939848	Distal gut
665.0131579	37.939848	Distal gut
530.2816901	37.939848	Distal gut
159.0555556	37.939848	Distal gut
857.05	37.939848	Distal gut
262.625	37.939848	Distal gut
861	37.939848	Distal gut
495.8490566	37.939848	Distal gut
571.0178571	37.939848	Distal gut
558.9473684	37.939848	Distal gut
763.7333333	37.939848	Distal gut
121.9090909	37.939848	Distal gut
652.3	37.939848	Distal gut
852.8606557	37.939848	Distal gut
645.1587302	37.939848	Distal gut
597.4	37.939848	Distal gut
233.05	37.939848	Distal gut
792.7142857	37.939848	Distal gut
237.125	37.939848	Distal gut
223	37.939848	Distal gut
256	37.939848	Distal gut
1018.582192	37.939848	Distal gut
158	37.939848	Distal gut
393.12	37.939848	Distal gut
540.6901408	37.939848	Distal gut
421.9850746	37.939848	Distal gut
466	37.939848	Distal gut
207.4761905	37.939848	Distal gut
133.4285714	37.939848	Distal gut
173.2727273	37.915493	Distal gut
813	37.827006	Distal gut
835.8921569	37.827006	Distal gut
307.9032258	37.827006	Distal gut
267.2857143	37.827006	Distal gut
283	37.827006	Distal gut
497.9746835	37.827006	Distal gut
446.1304348	37.827006	Distal gut
1007.890756	37.827006	Distal gut
526.8461538	37.827006	Distal gut
