Chao1	Latitude	Location
1879.54386	43.63	Soil
1913.8125	43.64	Soil
1195.50495	64.87	Soil
1163.868966	69.33	Soil
973.5092593	57.29	Soil
1078.75	67.54	Soil
1890.37931	57.08	Soil
1700.4	57.31	Soil
1830.216216	43.49	Soil
1161.028037	48.61	Soil
1897.929515	45.56	Soil
322.75	77.435	Water
211.7692308	77.435	Water
650.0581395	77.435	Water
806.5555556	77.435	Water
616.5531915	77.435	Water
264.9545455	77.435	Water
1343.164336	77.364	Water
1337.132075	77.364	Water
1302.845455	77.364	Water
1347.217391	77.364	Water
931.1262136	77.364	Water
1502.26506	77.364	Water
416.75	77.435	Water
55.5	77.364	Water
58	77.364	Water
43.14285714	77.364	Water
58	77.364	Water
22	77.364	Water
30	77.364	Water
82	77.435	Water
56.25	77.435	Water
132	77.435	Water
56.5	77.435	Water
140	77.316	Water
38	77.316	Water
74	77.316	Water
104.3333333	77.316	Water
108.5	77.316	Water
39	77.316	Water
151.4285714	77.316	Water
40.2	77.316	Water
60.14285714	77.435	Water
55.14285714	77.435	Water
540.2830189	77.435	Water
104.6666667	77.435	Water
94.33333333	77.435	Water
111.6666667	77.435	Water
55.14285714	77.435	Water
99.61538462	77.435	Water
86	77.435	Water
84	77.435	Water
85	77.435	Water
91.3	77.435	Water
101.3333333	77.435	Water
63	77.316	Water
531.25	77.316	Water
45	77.316	Water
93	77.316	Water
60.33333333	77.364	Water
98.125	77.364	Water
55	77.364	Water
61.42857143	77.364	Water
31.33333333	77.364	Water
48.42857143	77.364	Water
1010.504587	77.435	Water
28	77.435	Water
50.2	77.435	Water
8.5	77.435	Water
23.5	77.435	Water
18	77.435	Water
17	77.435	Water
35.33333333	77.435	Water
14	77.435	Water
22	77.316	Water
7.5	77.316	Water
25.33333333	77.364	Water
12.6	77.364	Water
25	77.364	Water
161.047619	77.364	Water
123.0833333	77.435	Water
70	77.435	Water
61.33333333	77.435	Water
30.5	77.435	Water
51	77.435	Water
32.33333333	77.435	Water
84.33333333	77.316	Water
67	77.316	Water
133.5	77.316	Water
151	77.316	Water
423.65	77.316	Water
111	77.316	Water
716.9047619	77.316	Water
157.2142857	77.316	Water
224.1428571	77.316	Water
356.0967742	77.316	Water
317.34375	77.316	Water
694.6875	77.316	Water
885.2	77.316	Water
142.4285714	77.316	Water
656.9615385	40.017	Soil
1244.210526	40.017	Soil
961.85	40.017	Soil
1137.653465	40.017	Soil
1155.691057	40.017	Soil
1194.08547	40.017	Soil
1263.344828	40.017	Soil
1128.365591	40.017	Soil
1182.1375	40.017	Soil
1394.658537	40.017	Soil
1264.908046	40.017	Soil
1007.772727	40.017	Soil
1147.594595	40.017	Soil
1096.139344	40.017	Soil
1154	40.017	Soil
1217.926606	40.017	Soil
1243.061947	40.017	Soil
1116.818182	40.017	Soil
1432.258929	40.017	Soil
1432.930233	40.017	Soil
1258.962617	40.017	Soil
1498.378947	40.017	Soil
1006.212121	40.017	Soil
1149.164835	46.038	Water
1465.058824	46.038	Water
1515.658915	46.038	Water
2906.512	46.745	Soil
2075.557851	33.674	Soil
202.3333333	46.73	Water
240.3846154	46.009	Water
1808.13	31.712	Soil
803.3984375	32.551	Sediment
861.136646	32.551	Sediment
1004.925926	46.038	Water
1156.705128	46.038	Water
1486.898876	46.038	Water
2498.582031	46.745	Soil
2022.146226	33.674	Soil
196.75	46.73	Water
248.0454545	46.009	Water
1569.821782	31.712	Soil
744.2903226	32.551	Sediment
788.9144737	32.551	Sediment
1318.101266	46.038	Water
1342.576923	46.038	Water
1497.842593	46.038	Water
2920.354839	46.745	Soil
2115.742268	33.674	Soil
169.2173913	46.73	Water
264	46.009	Water
1649.25	31.712	Soil
808.5555556	32.551	Sediment
931.6382979	32.551	Sediment
1120.814815	46.038	Water
1456.873563	46.038	Water
1648.158879	46.038	Water
2543.557692	46.745	Soil
2158.571429	33.674	Soil
202	46.73	Water
295.9333333	46.009	Water
1698.671233	31.712	Soil
834.1327434	32.551	Sediment
828.327044	32.551	Sediment
1015.509615	46.038	Water
1536.241379	46.038	Water
1609.03252	46.038	Water
2875.060484	46.745	Soil
2567.21466	33.674	Soil
195.2857143	46.73	Water
311.8	46.009	Water
1772.321951	31.712	Soil
713.9176471	32.551	Sediment
880.1171875	32.551	Sediment
1021.068966	32.551	Sediment
1348.409091	46.038	Water
1621.583333	46.038	Water
1625.30137	46.038	Water
2892.251101	46.745	Soil
2293.683168	33.674	Soil
216.9545455	46.73	Water
285.1034483	46.009	Water
1790.540816	31.712	Soil
673.5135135	32.551	Sediment
875.1623932	32.551	Sediment
955.0230769	32.551	Sediment
1399.735632	46.038	Water
1481.058252	46.038	Water
1541.627907	46.038	Water
2750.477099	46.745	Soil
2431.070423	33.674	Soil
227.4	46.73	Water
315.4347826	46.009	Water
1792.419512	31.712	Soil
891.1100917	32.551	Sediment
855.559322	32.551	Sediment
441.2702703	55.873	Water
408.375	55.905	Soil
