Chao1	Latitude	Location
574.1162791	33.966608	Surface
487.7586207	33.966608	Surface
777.5	33.966608	Surface
837.3461538	33.966608	Surface
776.0980392	33.966608	Surface
654.4358974	33.991889	Surface
465.1694915	33.991889	Surface
554.3653846	33.991889	Surface
445.0172414	33.991889	Surface
485.0153846	33.991889	Surface
547.3278689	33.966608	Surface
218.3235294	33.966608	Surface
872.7857143	33.966608	Surface
941.3738318	33.966608	Surface
808.7857143	33.966608	Surface
773.1081081	33.991889	Surface
680.1935484	33.991889	Surface
515	33.991889	Surface
347.3225806	33.991889	Surface
590.1886792	31.7778167	Surface
382.7	31.7778167	Surface
282	31.7778167	Surface
300.8846154	31.7778167	Surface
386.8	31.7778167	Surface
299.3157895	31.7778167	Surface
383.90625	31.7778167	Surface
322.0243902	31.7778167	Surface
184.9090909	31.7778167	Surface
263	31.7778167	Surface
297.3333333	31.78883	Surface
403.775	31.78883	Surface
239	31.78883	Surface
464.5957447	31.78883	Surface
285.6666667	31.78883	Surface
233.0833333	31.78883	Surface
332.3333333	31.78883	Surface
327.3636364	31.78883	Surface
441.75	31.78883	Surface
321.1578947	31.78883	Surface
329.2162162	31.86453	Surface
329.9354839	31.86453	Surface
449.42	31.86453	Surface
707.6470588	31.86453	Surface
296.5	31.86453	Surface
423.8875	43.425683	Surface
275.75	43.52965	Surface
317.0909091	43.52965	Surface
262.875	42.9509167	Surface
325.1	33.966608	Surface
269.9545455	33.966608	Surface
374.122807	33.991889	Surface
441.7727273	33.991889	Surface
333.5	30.310467	Surface
545.2075472	30.310467	Surface
371	30.310467	Surface
506.125	30.310467	Surface
468.6222222	30.310467	Surface
498	30.310467	Surface
504.3333333	30.310467	Surface
778.5616438	30.310467	Surface
575.6666667	30.310467	Surface
747.9859155	30.310467	Surface
399.4565217	30.265983	Surface
538.362069	30.265983	Surface
496.9850746	30.265983	Surface
354.8235294	30.265983	Surface
532.6438356	30.265983	Surface
1241.17931	30.265983	Surface
400.6923077	30.265983	Surface
418.25	30.265983	Surface
245.2307692	30.265983	Surface
372.9166667	30.265983	Surface
368	34.256467	Surface
270.75	34.256467	Surface
243.8333333	34.256467	Surface
264	34.256467	Surface
300.75	34.256467	Surface
246.1363636	34.256467	Surface
445.2173913	34.256467	Surface
697.1492537	34.256467	Surface
362.5675676	34.256467	Surface
215.625	34.256467	Surface
855.1785714	34.26785	Surface
266.8	34.26785	Surface
178.9545455	34.26785	Surface
200.0526316	34.26785	Surface
116.75	34.26785	Surface
601.9491525	34.26785	Surface
484.3928571	34.26785	Surface
641.8133333	34.26785	Surface
186.125	34.26785	Surface
213.25	34.26785	Surface
181.4	34.22993	Surface
356.212766	34.22993	Surface
303.3571429	34.22993	Surface
264.7368421	34.22993	Surface
228.1304348	34.22993	Surface
335.5	34.22993	Surface
159	34.22993	Surface
190.6875	34.22993	Surface
127.0833333	34.22993	Surface
609.5070423	34.22993	Surface
336.8125	43.136867	Surface
141.0769231	43.136867	Surface
258.4375	43.136867	Surface
164.0526316	43.136867	Surface
243.64	43.136867	Surface
426.0588235	43.136867	Surface
429.122449	43.136867	Surface
395.1111111	43.136867	Surface
450.0181818	43.136867	Surface
314.0277778	43.136867	Surface
226.2142857	43.136867	Surface
184.0526316	43.136867	Surface
269.75	43.136867	Surface
198.2	43.136867	Surface
169.7142857	43.136867	Surface
253.375	43.12335	Surface
219.55	43.12335	Surface
162.6153846	43.12335	Surface
329.4516129	43.12335	Surface
287.4642857	43.12335	Surface
414.5348837	43.12335	Surface
349.2777778	43.12335	Surface
276.6428571	43.12335	Surface
276.5652174	43.12335	Surface
535.5625	43.12335	Surface
822.8730159	43.12335	Surface
909.4736842	43.12335	Surface
903.5340909	43.12335	Surface
1024.045455	43.12335	Surface
932.641791	43.12335	Surface
756	43.139883	Surface
723.5	43.139883	Surface
655.5121951	43.139883	Surface
717.3134328	43.139883	Surface
768.9710145	43.139883	Surface
850.5128205	43.139883	Surface
986.9367089	43.139883	Surface
911.0120482	43.139883	Surface
831.0434783	43.139883	Surface
930.741573	43.139883	Surface
859.0126582	43.139883	Surface
