Chao1	Latitude	Location
116.0833333	48.38	Surface
263.5555556	48.38	Surface
230.5294118	48.38	Surface
261.4545455	48.38	Surface
283.6666667	48.38	Surface
202.3030303	48.38	Surface
220.1052632	48.38	Surface
581.7586207	48.38	Surface
377.7142857	48.38	Surface
290.4516129	48.38	Surface
384.3235294	48.38	Surface
38.625	48.38	Surface
292.0526316	48.38	Surface
244.06	48.38	Surface
269.037037	48.38	Surface
106.6666667	48.36	Surface
154.3333333	48.36	Surface
192.5454545	48.36	Surface
141	48.36	Surface
178.5833333	48.36	Surface
149.0769231	48.36	Surface
135.6	48.36	Surface
161.2	48.36	Surface
86	48.36	Surface
112.0833333	48.36	Surface
69.875	48.36	Surface
156	48.36	Surface
743.5	48.36	Water
609	48.36	Water
149.2	48.36	Water
371.9677419	48.36	Surface
562.35	48.36	Surface
383.1818182	48.36	Surface
469.326087	48.36	Surface
553	48.36	Surface
305.7741935	48.36	Surface
496.72	48.36	Surface
305.7142857	48.36	Surface
563.6875	48.36	Surface
405.0714286	48.36	Surface
156.8333333	48.38	Surface
186.6666667	48.38	Surface
1798.775148	50.338	Sediment
2154.320755	50.338	Sediment
1949.756757	50.338	Sediment
2300.132075	50.338	Sediment
2209.653631	50.338	Sediment
1779.073529	50.338	Sediment
1075.834356	50.338	Sediment
2046.126984	50.338	Sediment
2444.935961	50.338	Sediment
2473.512097	50.338	Sediment
3422.683453	50.338	Sediment
1783.666667	50.338	Sediment
3425.93617	50.338	Sediment
2367.453039	50.338	Sediment
2272.019868	50.338	Sediment
1986.006173	50.338	Sediment
2326.452555	50.338	Sediment
1104.416667	50.338	Sediment
1094.443182	50.338	Sediment
2336.816216	50.338	Sediment
1500.449275	50.338	Sediment
1063.89313	50.338	Sediment
3495.264901	50.338	Sediment
2705.670391	50.338	Sediment
2210.115385	50.338	Sediment
2292.97191	50.338	Sediment
2330.641711	50.338	Sediment
2295.248062	50.338	Sediment
2735.798046	50.338	Sediment
2247.714286	50.338	Sediment
966.0410959	50.338	Sediment
2464.333333	50.338	Sediment
1020.614035	50.338	Sediment
2200.385475	50.338	Sediment
2285.716418	50.338	Sediment
2195.3	50.338	Sediment
1928.071856	50.338	Sediment
556.3834197	50.338	Sediment
1395.147601	50.338	Sediment
2680.951923	50.338	Sediment
1667.589286	50.338	Sediment
1773.225806	50.338	Sediment
2668.717687	50.338	Sediment
2516	50.338	Sediment
1489.672414	50.338	Sediment
2001.537037	50.338	Sediment
771.3459916	50.338	Sediment
1794.554945	50.338	Sediment
1364.198925	50.338	Sediment
690.6396761	50.338	Sediment
1424.436508	50.338	Sediment
1637.78	50.338	Sediment
2005.279221	50.338	Sediment
