Location,Chao1,Temperature,pH,Latitude
Surface (ns),76.14285714,45.7,3.77,19.389
Water (ns),356.0714286,14.9,3.97,53.1
Water (ns),305.6086957,14.9,3.97,53.1
Soil (ns),1202.866071,6.1,4.01,71.296
Soil (ns),823.2222222,6.1,4.01,71.296
Water (ns),363.1111111,6.7,4.25,53.1
Water (ns),444.1754386,6.7,4.25,53.1
Water (ns),161.1,11.9,4.26,53.1
Water (ns),560.0128205,11.9,4.26,53.1
Water (ns),277.6458333,19.3,4.29,53.1
Water (ns),651.0365854,19.3,4.29,53.1
Water (ns),560.4418605,14.7,4.3,53.1
Water (ns),455.1034483,14.7,4.3,53.1
Water (ns),577.2333333,14.4,4.31,53.1
Water (ns),478.7971014,14.4,4.31,53.1
Water (ns),507.2470588,17.6,4.33,53.1
Water (ns),309.8965517,17.6,4.33,53.1
Surface (ns),118,47.3,4.33,19.389
Water (ns),357,22.9,4.35,53.1
Water (ns),1009.243243,9.3,4.37,53.1
Water (ns),977.3741497,9.3,4.37,53.1
Water (ns),369.703125,21.5,4.37,53.1
Water (ns),538.9622642,21.5,4.37,53.1
Soil (ns),937.3707865,4.8,4.38,71.296
Soil (ns),714.1428571,4.8,4.38,71.296
Soil (ns),513.7213115,4.8,4.38,71.296
Soil (ns),738.8734177,4.8,4.38,71.296
Water (ns),843.9640288,19.8,4.4,53.1
Water (ns),335.8653846,19.8,4.4,53.1
Water (ns),121.4,21.8,4.44,53.1
Water (ns),262.3,21.8,4.44,53.1
Water (ns),560.2804878,15.3,4.45,53.1
Water (ns),294.3529412,15.3,4.45,53.1
Water (ns),148.8,21.5,4.46,53.1
Water (ns),951.6644737,21.5,4.46,53.1
Water (ns),204.9285714,15.9,4.48,53.1
Water (ns),130.0909091,15.9,4.48,53.1
Water (ns),706.1481481,18.6,4.49,53.1
Water (ns),614.2258065,18.6,4.49,53.1
Water (ns),192.55,20.2,4.49,53.1
Water (ns),566.3333333,21.4,4.5,53.1
Water (ns),660.1388889,21.4,4.5,53.1
Water (ns),450.625,16.7,4.51,53.1
Water (ns),451.4347826,16.7,4.51,53.1
Soil (ns),605.3809524,5.4,4.54,71.296
Soil (ns),730.0441176,5.4,4.54,71.296
Water (ns),383.1621622,18,4.55,53.1
Water (ns),572.5606061,18,4.55,53.1
Water (ns),304.6153846,12.1,4.56,53.1
Water (ns),116.6666667,12.1,4.56,53.1
Water (ns),341.7317073,17.9,4.56,53.1
Water (ns),488.9230769,17.9,4.56,53.1
Water (ns),412.75,18.1,4.56,53.1
Water (ns),295.6,18.1,4.56,53.1
Water (ns),556.5294118,18.2,4.56,53.1
Water (ns),534.4782609,18.2,4.56,53.1
Water (ns),1015.791667,21.3,4.57,53.1
Water (ns),1492.15,21.3,4.57,53.1
Water (ns),332.3947368,3.6,4.58,53.1
Water (ns),261.3,3.6,4.58,53.1
Water (ns),184.25,13.5,4.58,53.1
Water (ns),498.7142857,13.5,4.58,53.1
Water (ns),254.75,15.1,4.61,53.1
Water (ns),268.0222222,15.1,4.61,53.1
Water (ns),598.0285714,18.6,4.61,53.1
Water (ns),464.5,18.6,4.61,53.1
Water (ns),146.0588235,20.4,4.61,53.1
Water (ns),180.6521739,20.4,4.61,53.1
Soil (ns),830.4047619,4.3,4.63,71.296
Soil (ns),593.5844156,4.3,4.63,71.296
Soil (ns),612.2658228,4.3,4.63,71.296
Soil (ns),659.4545455,4.3,4.63,71.296
Soil (ns),791.3975904,4.3,4.63,71.296
Soil (ns),735.8918919,4.3,4.63,71.296
Soil (ns),858.5,4.3,4.63,71.296
Soil (ns),789.5612245,4.3,4.63,71.296
Water (ns),195.6,23.4,4.63,53.1
Water (ns),177.64,23.4,4.63,53.1
Water (ns),359.6666667,16.7,4.64,53.1
Water (ns),256.7894737,16.7,4.64,53.1
Water (ns),188.3529412,17.7,4.64,53.1
Water (ns),232.1621622,17.7,4.64,53.1
Water (ns),362.1428571,19.5,4.64,53.1
Water (ns),635.1351351,19.5,4.64,53.1
Water (ns),569.3947368,2.6,4.65,53.1
Water (ns),418.8571429,2.6,4.65,53.1
Water (ns),513.2826087,16.3,4.65,53.1
Water (ns),457.375,16.3,4.65,53.1
Water (ns),352.0425532,16.6,4.65,53.1
Water (ns),377.1578947,16.6,4.65,53.1
Water (ns),341.3584906,21.9,4.65,53.1
Water (ns),196.875,21.9,4.65,53.1
Water (ns),428.8378378,23.9,4.65,53.1
Water (ns),469.6,5.2,4.67,53.1
Soil (ns),818.9240506,6.4,4.67,71.296
Soil (ns),763.59375,6.4,4.67,71.296
Soil (ns),685.2535211,1.3,4.68,71.296
Water (ns),136.7142857,12.1,4.69,53.1
Water (ns),204.4285714,13.3,4.69,53.1
Water (ns),273.9032258,13.3,4.69,53.1
Water (ns),353.44,20.6,4.69,53.1
Water (ns),378.0384615,20.6,4.69,53.1
Water (ns),141.4285714,3.1,4.7,53.1
Water (ns),184.5454545,3.1,4.7,53.1
