Location,OO,Temperature,pH,Latitude
Surface (ns),65,45.7,3.77,19.389
Water (ns),267,14.9,3.97,53.1
Water (ns),242,14.9,3.97,53.1
Soil (ns),750,6.1,4.01,71.296
Soil (ns),560,6.1,4.01,71.296
Water (ns),297,6.7,4.25,53.1
Water (ns),339,6.7,4.25,53.1
Water (ns),126,11.9,4.26,53.1
Water (ns),407,11.9,4.26,53.1
Water (ns),242,19.3,4.29,53.1
Water (ns),492,19.3,4.29,53.1
Water (ns),272,14.7,4.3,53.1
Water (ns),233,14.7,4.3,53.1
Water (ns),458,14.4,4.31,53.1
Water (ns),361,14.4,4.31,53.1
Surface (ns),80,47.3,4.33,19.389
Water (ns),438,17.6,4.33,53.1
Water (ns),229,17.6,4.33,53.1
Water (ns),126,22.9,4.35,53.1
Water (ns),730,9.3,4.37,53.1
Water (ns),743,9.3,4.37,53.1
Water (ns),260,21.5,4.37,53.1
Water (ns),388,21.5,4.37,53.1
Soil (ns),607,4.8,4.38,71.296
Soil (ns),436,4.8,4.38,71.296
Soil (ns),361,4.8,4.38,71.296
Soil (ns),492,4.8,4.38,71.296
Water (ns),680,19.8,4.4,53.1
Water (ns),272,19.8,4.4,53.1
Water (ns),95,21.8,4.44,53.1
Water (ns),145,21.8,4.44,53.1
Water (ns),424,15.3,4.45,53.1
Water (ns),144,15.3,4.45,53.1
Water (ns),111,21.5,4.46,53.1
Water (ns),725,21.5,4.46,53.1
Water (ns),131,15.9,4.48,53.1
Water (ns),76,15.9,4.48,53.1
Water (ns),458,18.6,4.49,53.1
Water (ns),396,18.6,4.49,53.1
Water (ns),121,20.2,4.49,53.1
Water (ns),306,21.4,4.5,53.1
Water (ns),392,21.4,4.5,53.1
Water (ns),329,16.7,4.51,53.1
Water (ns),335,16.7,4.51,53.1
Soil (ns),411,5.4,4.54,71.296
Soil (ns),466,5.4,4.54,71.296
Water (ns),227,18,4.55,53.1
Water (ns),323,18,4.55,53.1
Water (ns),217,12.1,4.56,53.1
Water (ns),86,12.1,4.56,53.1
Water (ns),221,17.9,4.56,53.1
Water (ns),287,17.9,4.56,53.1
Water (ns),245,18.1,4.56,53.1
Water (ns),196,18.1,4.56,53.1
Water (ns),288,18.2,4.56,53.1
Water (ns),298,18.2,4.56,53.1
Water (ns),566,21.3,4.57,53.1
Water (ns),821,21.3,4.57,53.1
Water (ns),267,3.6,4.58,53.1
Water (ns),195,3.6,4.58,53.1
Water (ns),163,13.5,4.58,53.1
Water (ns),263,13.5,4.58,53.1
Water (ns),166,15.1,4.61,53.1
Water (ns),208,15.1,4.61,53.1
Water (ns),283,18.6,4.61,53.1
Water (ns),187,18.6,4.61,53.1
Water (ns),109,20.4,4.61,53.1
Water (ns),123,20.4,4.61,53.1
Water (ns),146,23.4,4.63,53.1
Water (ns),148,23.4,4.63,53.1
Soil (ns),541,4.3,4.63,71.296
Soil (ns),420,4.3,4.63,71.296
Soil (ns),441,4.3,4.63,71.296
Soil (ns),480,4.3,4.63,71.296
Soil (ns),527,4.3,4.63,71.296
Soil (ns),475,4.3,4.63,71.296
Soil (ns),566,4.3,4.63,71.296
Soil (ns),557,4.3,4.63,71.296
Water (ns),241,16.7,4.64,53.1
Water (ns),187,16.7,4.64,53.1
Water (ns),122,17.7,4.64,53.1
Water (ns),165,17.7,4.64,53.1
Water (ns),184,19.5,4.64,53.1
Water (ns),265,19.5,4.64,53.1
Water (ns),317,2.6,4.65,53.1
Water (ns),292,2.6,4.65,53.1
Water (ns),280,16.3,4.65,53.1
Water (ns),203,16.3,4.65,53.1
Water (ns),293,16.6,4.65,53.1
Water (ns),310,16.6,4.65,53.1
Water (ns),274,21.9,4.65,53.1
Water (ns),84,21.9,4.65,53.1
Water (ns),216,23.9,4.65,53.1
Water (ns),275,5.2,4.67,53.1
Soil (ns),525,6.4,4.67,71.296
Soil (ns),535,6.4,4.67,71.296
Soil (ns),497,1.3,4.68,71.296
Water (ns),81,12.1,4.69,53.1
Water (ns),104,13.3,4.69,53.1
Water (ns),196,13.3,4.69,53.1
Water (ns),186,20.6,4.69,53.1
Water (ns),224,20.6,4.69,53.1
Water (ns),95,3.1,4.7,53.1
Water (ns),110,3.1,4.7,53.1
Water (ns),167,3.2,4.7,53.1
Water (ns),168,3.2,4.7,53.1
Water (ns),296,7,4.7,53.1
Water (ns),251,7,4.7,53.1
Water (ns),393,15.9,4.7,53.1
Water (ns),468,15.9,4.7,53.1
Water (ns),282,10.6,4.71,53.1
Water (ns),320,8,4.72,53.1
Water (ns),142,19.7,4.72,53.1
Water (ns),175,19.7,4.72,53.1
