Location,Shannon,Temperature,pH,Latitude
Surface (ns),3.038996531,45.7,3.77,19.389
Water (ns),5.196390829,14.9,3.97,53.1
Water (ns),4.248881154,14.9,3.97,53.1
Soil (ns),8.097284014,6.1,4.01,71.296
Soil (ns),7.428078783,6.1,4.01,71.296
Water (ns),5.722439308,6.7,4.25,53.1
Water (ns),6.329216714,6.7,4.25,53.1
Water (ns),5.022328943,11.9,4.26,53.1
Water (ns),5.740301003,11.9,4.26,53.1
Water (ns),5.94964362,19.3,4.29,53.1
Water (ns),6.855371313,19.3,4.29,53.1
Water (ns),4.403999857,14.7,4.3,53.1
Water (ns),4.716997632,14.7,4.3,53.1
Water (ns),6.92628199,14.4,4.31,53.1
Water (ns),5.640792254,14.4,4.31,53.1
Surface (ns),4.249207281,47.3,4.33,19.389
Water (ns),7.069919637,17.6,4.33,53.1
Water (ns),5.67163814,17.6,4.33,53.1
Water (ns),3.479005854,22.9,4.35,53.1
Water (ns),6.998771467,9.3,4.37,53.1
Water (ns),7.521913231,9.3,4.37,53.1
Water (ns),2.885575525,21.5,4.37,53.1
Water (ns),6.475923742,21.5,4.37,53.1
Soil (ns),7.546071413,4.8,4.38,71.296
Soil (ns),6.748335732,4.8,4.38,71.296
Soil (ns),6.115133371,4.8,4.38,71.296
Soil (ns),6.765882138,4.8,4.38,71.296
Water (ns),7.923842614,19.8,4.4,53.1
Water (ns),4.973037539,19.8,4.4,53.1
Water (ns),3.220577951,21.8,4.44,53.1
Water (ns),3.538898009,21.8,4.44,53.1
Water (ns),5.522193709,15.3,4.45,53.1
Water (ns),3.184459557,15.3,4.45,53.1
Water (ns),4.404385494,21.5,4.46,53.1
Water (ns),7.2331296,21.5,4.46,53.1
Water (ns),4.465806216,15.9,4.48,53.1
Water (ns),3.688589289,15.9,4.48,53.1
Water (ns),6.152190088,18.6,4.49,53.1
Water (ns),6.172130675,18.6,4.49,53.1
Water (ns),4.067663979,20.2,4.49,53.1
Water (ns),4.99586397,21.4,4.5,53.1
Water (ns),4.293640215,21.4,4.5,53.1
Water (ns),2.915460043,16.7,4.51,53.1
Water (ns),6.066755371,16.7,4.51,53.1
Soil (ns),6.641875354,5.4,4.54,71.296
Soil (ns),6.268890287,5.4,4.54,71.296
Water (ns),4.468397335,18,4.55,53.1
Water (ns),4.685734327,18,4.55,53.1
Water (ns),5.540589902,12.1,4.56,53.1
Water (ns),4.467460692,12.1,4.56,53.1
Water (ns),3.360528426,17.9,4.56,53.1
Water (ns),5.549602185,17.9,4.56,53.1
Water (ns),4.137529154,18.1,4.56,53.1
Water (ns),4.985109879,18.1,4.56,53.1
Water (ns),4.525123311,18.2,4.56,53.1
Water (ns),5.485307064,18.2,4.56,53.1
Water (ns),7.190750405,21.3,4.57,53.1
Water (ns),7.21822403,21.3,4.57,53.1
Water (ns),6.376968805,3.6,4.58,53.1
Water (ns),6.071863559,3.6,4.58,53.1
Water (ns),5.122327972,13.5,4.58,53.1
Water (ns),5.831318409,13.5,4.58,53.1
Water (ns),3.786388003,15.1,4.61,53.1
Water (ns),2.127403426,15.1,4.61,53.1
Water (ns),4.90640377,18.6,4.61,53.1
Water (ns),4.69587784,18.6,4.61,53.1
Water (ns),3.81751502,20.4,4.61,53.1
Water (ns),3.574573756,20.4,4.61,53.1
Water (ns),5.522404355,23.4,4.63,53.1
Water (ns),4.458613571,23.4,4.63,53.1
Soil (ns),7.050979493,4.3,4.63,71.296
Soil (ns),6.161176057,4.3,4.63,71.296
Soil (ns),6.649222745,4.3,4.63,71.296
Soil (ns),6.662079208,4.3,4.63,71.296
Soil (ns),7.159399395,4.3,4.63,71.296
Soil (ns),6.689474212,4.3,4.63,71.296
Soil (ns),7.127451596,4.3,4.63,71.296
Soil (ns),7.285711496,4.3,4.63,71.296
Water (ns),5.599964955,16.7,4.64,53.1
Water (ns),5.344945476,16.7,4.64,53.1
Water (ns),2.099053082,17.7,4.64,53.1
Water (ns),1.960797989,17.7,4.64,53.1
Water (ns),4.659289525,19.5,4.64,53.1
Water (ns),3.865378052,19.5,4.64,53.1
Water (ns),5.834175781,2.6,4.65,53.1
Water (ns),5.82109605,2.6,4.65,53.1
Water (ns),4.631755414,16.3,4.65,53.1
Water (ns),4.871400434,16.3,4.65,53.1
Water (ns),6.276332443,16.6,4.65,53.1
Water (ns),6.250801971,16.6,4.65,53.1
Water (ns),5.462218456,21.9,4.65,53.1
Water (ns),3.16431377,21.9,4.65,53.1
Water (ns),4.037486838,23.9,4.65,53.1
Water (ns),4.909868701,5.2,4.67,53.1
Soil (ns),7.105998237,6.4,4.67,71.296
Soil (ns),7.189087294,6.4,4.67,71.296
Soil (ns),7.529141233,1.3,4.68,71.296
Water (ns),0.481838706,12.1,4.69,53.1
Water (ns),3.828738152,13.3,4.69,53.1
Water (ns),4.844041523,13.3,4.69,53.1
Water (ns),2.967408478,20.6,4.69,53.1
Water (ns),4.618728362,20.6,4.69,53.1
Water (ns),3.995576989,3.1,4.7,53.1
Water (ns),4.509044618,3.1,4.7,53.1
Water (ns),5.119872537,3.2,4.7,53.1
Water (ns),4.622550629,3.2,4.7,53.1
Water (ns),5.123523654,7,4.7,53.1
Water (ns),3.88213351,7,4.7,53.1
Water (ns),5.991666009,15.9,4.7,53.1
Water (ns),6.736904846,15.9,4.7,53.1
Water (ns),5.944446696,10.6,4.71,53.1
Water (ns),4.227098627,8,4.72,53.1
Water (ns),4.876836502,19.7,4.72,53.1
Water (ns),2.105726843,19.7,4.72,53.1
Soil (ns),6.654751466,4.6,4.72,71.296
Soil (ns),6.626763927,4.6,4.72,71.296
Soil (ns),7.623397824,4.6,4.72,71.296
Soil (ns),6.812856704,4.6,4.72,71.296
Soil (ns),6.893868865,4.6,4.72,71.296
Soil (ns),6.767590588,4.6,4.72,71.296
Soil (ns),6.391055875,4.6,4.72,71.296
Soil (ns),6.400984284,4.6,4.72,71.296
Water (ns),4.172550131,5,4.74,53.1
Water (ns),4.890016147,5,4.74,53.1
Soil (ns),6.873020835,4.4,4.76,71.296
Soil (ns),6.711010796,4.4,4.76,71.296
Soil (ns),6.613557684,4.4,4.76,71.296
Soil (ns),6.979055613,4.4,4.76,71.296
Water (ns),5.153278855,1.6,4.78,53.1
Water (ns),4.52751266,4.9,4.78,53.1
Water (ns),4.541352757,4.9,4.78,53.1
Water (ns),4.420595463,11.4,4.78,53.1
Water (ns),5.40613418,11.4,4.78,53.1
Water (ns),5.014872246,5.4,4.79,53.1
Water (ns),3.918407395,5.4,4.79,53.1
Water (ns),4.823415095,10.1,4.79,53.1
Water (ns),4.359113327,10.1,4.79,53.1
Water (ns),3.888314558,3.9,4.8,53.1
Water (ns),3.662276721,3.9,4.8,53.1
Water (ns),9.055918573,8.9,4.8,53.1
Water (ns),5.508596534,5.9,4.82,53.1
Water (ns),6.662582916,5.9,4.82,53.1
Water (ns),2.682590012,16.1,4.82,53.1
Water (ns),4.248245322,16.1,4.82,53.1
Water (ns),4.862636826,17.2,4.82,53.1
Water (ns),3.701462844,17.2,4.82,53.1
Water (ns),4.681030151,5,4.84,53.1
Water (ns),6.113908798,5,4.84,53.1
Water (ns),4.480388001,8.2,4.84,53.1
Water (ns),6.081815412,8.2,4.84,53.1
Water (ns),1.201615552,8.6,4.85,53.1
Water (ns),3.135911783,8.6,4.85,53.1
Water (ns),3.208473203,4.3,4.86,53.1
Water (ns),5.010927459,4.3,4.86,53.1
Soil (ns),6.760658307,5.9,4.86,71.296
Soil (ns),7.283212115,5.9,4.86,71.296
Water (ns),5.720126275,7.3,4.87,53.1
Water (ns),5.165839615,7.3,4.87,53.1
Water (ns),0.462151256,5.4,4.88,53.1
Water (ns),3.457074591,5.4,4.88,53.1
Water (ns),5.117872581,8,4.91,53.1
Water (ns),2.375467785,8,4.91,53.1
Water (ns),9.594142199,3,4.92,53.1
Water (ns),0.653358889,3,4.92,53.1
Water (ns),4.546788724,6.8,4.92,53.1
Water (ns),4.931492444,10.2,4.92,53.1
Water (ns),5.557107137,10.2,4.92,53.1
Water (ns),3.916727113,3.6,4.95,53.1
Water (ns),5.536041786,3.6,4.95,53.1
Water (ns),3.921169059,3.9,4.95,53.1
Water (ns),3.060959272,3.9,4.95,53.1
Water (ns),3.756627902,5.3,4.95,53.1
Water (ns),5.109076355,5.3,4.95,53.1
Water (ns),6.220589923,4.6,4.96,53.1
Water (ns),3.510301115,4.6,4.96,53.1
Water (ns),3.910749958,6.8,4.96,53.1
Water (ns),3.949403597,5,4.98,53.1
Water (ns),5.023149002,5,4.98,53.1
Soil (ns),6.91473129,4.4,5.01,71.296
Soil (ns),6.123887637,4.4,5.01,71.296
Soil (ns),6.308059886,4.4,5.01,71.296
Soil (ns),6.700303579,4.4,5.01,71.296
Soil (ns),6.072857854,4.4,5.01,71.296
Soil (ns),6.996093318,4.4,5.01,71.296
Soil (ns),6.565962474,4.4,5.01,71.296
Soil (ns),6.315289747,4.4,5.01,71.296
