OO	Temperature	Location
1349	0	Non-saline
472	0.1	Non-saline
1342	0.1	Non-saline
237	0.15	Non-saline
230	0.15	Non-saline
285	0.2	Non-saline
335	0.2	Non-saline
1022	0.2	Non-saline
227	0.32	Non-saline
777	0.33	Non-saline
245	0.4	Non-saline
236	0.4	Non-saline
178	0.4	Non-saline
274	0.4	Non-saline
913	0.4	Non-saline
503	0.45	Saline
245	0.5	Non-saline
215	0.5	Non-saline
128	0.5	Non-saline
205	0.5	Non-saline
465	0.5	Saline
708	0.55	Non-saline
644	0.56	Non-saline
332	0.56	Non-saline
314	0.6	Non-saline
373	0.6	Non-saline
244	0.62	Non-saline
257	0.65	Non-saline
164	0.7	Non-saline
182	0.7	Non-saline
127	0.7	Non-saline
248	0.7	Non-saline
573	0.7	Non-saline
262	0.71	Non-saline
258	0.72	Non-saline
227	0.73	Non-saline
225	0.75	Non-saline
133	0.75	Non-saline
757	0.76	Non-saline
784	0.76	Non-saline
715	0.77	Non-saline
749	0.78	Non-saline
1448	0.85	Non-saline
230	0.92	Non-saline
707	0.93	Non-saline
722	0.96	Non-saline
311	0.97	Non-saline
263	0.97	Non-saline
191	1	Non-saline
862	1.02	Non-saline
301	1.11	Non-saline
336	1.11	Non-saline
271	1.18	Non-saline
769	1.19	Non-saline
154	1.2	Non-saline
173	1.2	Non-saline
268	1.3	Non-saline
241	1.3	Non-saline
83	1.3	Non-saline
95	1.3	Non-saline
497	1.3	Non-saline
192	1.3	Non-saline
706	1.34	Non-saline
306	1.37	Non-saline
82	1.4	Non-saline
227	1.41	Non-saline
227	1.5	Non-saline
642	1.53	Non-saline
294	1.59	Non-saline
212	1.6	Non-saline
962	1.6	Non-saline
267	1.61	Non-saline
287	1.67	Non-saline
363	1.7723	Saline
635	1.8	Saline
323	1.81	Non-saline
358	1.83	Non-saline
857	1.86	Non-saline
293	1.87	Non-saline
101	1.9	Non-saline
86	1.9	Non-saline
579	1.9	Non-saline
569	1.9	Non-saline
330	1.9	Non-saline
112	1.9	Saline
313	1.9	Non-saline
783	1.92	Non-saline
319	1.92	Non-saline
778	1.93	Non-saline
244	1.94	Non-saline
552	1.95	Non-saline
89	2	Saline
80	2	Saline
735	2.03	Non-saline
378	2.03	Non-saline
157	2.0347	Saline
242	2.0347	Saline
299	2.05	Non-saline
249	2.06	Non-saline
379	2.08	Non-saline
378	2.139	Saline
301	2.16	Non-saline
230	2.2	Non-saline
256	2.21	Non-saline
264	2.2251	Saline
267	2.2251	Saline
360	2.23	Non-saline
194	2.2397	Saline
177	2.3	Non-saline
772	2.3	Non-saline
176	2.3536	Saline
252	2.37	Non-saline
310	2.37	Non-saline
331	2.39	Non-saline
200	2.4	Non-saline
138	2.4	Non-saline
159	2.4	Non-saline
168	2.4	Non-saline
321	2.43	Non-saline
499	2.44	Non-saline
315	2.45	Non-saline
164	2.47	Non-saline
148	2.47	Non-saline
102	2.5	Saline
325	2.5141	Non-saline
315	2.525	Non-saline
328	2.5444	Non-saline
