OO	Latitude	Location
84	40.015	Animal
68	40.015	Animal
80	40.015	Animal
80	40.015	Animal
108	40.015	Animal
89	40.015	Animal
91	40.015	Animal
99	40.015	Animal
90	40.015	Animal
96	40.015	Animal
108	40.015	Animal
91	40.015	Animal
64	40.015	Animal
94	40.015	Animal
77	40.015	Animal
87	40.015	Animal
115	40.015	Animal
85	40.015	Animal
87	40.015	Animal
93	40.015	Animal
96	40.015	Animal
112	40.015	Animal
82	40.015	Animal
67	40.015	Animal
87	40.015	Animal
86	40.015	Animal
88	40.015	Animal
81	40.015	Animal
82	40.015	Animal
93	40.015	Animal
100	40.015	Animal
81	40.015	Animal
97	40.015	Animal
84	40.015	Animal
60	40.015	Animal
87	40.015	Animal
96	40.015	Animal
103	40.015	Animal
70	40.015	Animal
86	40.015	Animal
66	40.015	Animal
82	40.015	Animal
123	40.015	Animal
105	40.015	Animal
119	40.015	Animal
79	40.015	Animal
118	40.015	Animal
95	40.015	Animal
132	40.015	Animal
113	40.015	Animal
126	40.015	Animal
141	40.015	Animal
103	40.015	Animal
145	40.015	Animal
153	40.015	Animal
140	40.015	Animal
77	40.015	Animal
153	40.015	Animal
135	40.015	Animal
104	40.015	Animal
135	40.015	Animal
93	40.015	Animal
91	40.015	Animal
131	40.015	Animal
105	40.015	Animal
111	40.015	Animal
118	40.015	Animal
80	40.015	Animal
134	40.015	Animal
103	40.015	Animal
126	40.015	Animal
107	40.015	Animal
108	40.015	Animal
130	40.015	Animal
122	40.015	Animal
120	40.015	Animal
115	40.015	Animal
145	40.015	Animal
77	40.015	Animal
114	40.015	Animal
121	40.015	Animal
91	40.015	Animal
99	40.015	Animal
109	40.015	Animal
144	40.015	Animal
94	40.015	Animal
134	40.015	Animal
157	40.015	Animal
115	40.015	Animal
73	40.015	Animal
79	40.015	Animal
94	40.015	Animal
107	40.015	Animal
100	40.015	Animal
101	40.015	Animal
111	40.015	Animal
112	40.015	Animal
107	40.015	Animal
122	40.015	Animal
122	40.015	Animal
86	40.015	Animal
99	40.015	Animal
109	40.015	Animal
100	40.015	Animal
107	40.015	Animal
146	40.015	Animal
113	40.015	Animal
92	40.015	Animal
151	40.015	Animal
107	40.015	Animal
48	40.015	Animal
79	40.015	Animal
100	40.015	Animal
115	40.015	Animal
127	40.015	Animal
132	40.015	Animal
108	40.015	Animal
124	40.015	Animal
121	40.015	Animal
112	40.015	Animal
114	40.015	Animal
117	40.015	Animal
66	40.015	Animal
120	40.015	Animal
173	40.015	Animal
135	40.015	Animal
174	40.015	Animal
120	40.015	Animal
104	40.015	Animal
72	40.015	Animal
111	40.015	Animal
116	40.015	Animal
59	40.015	Animal
119	40.015	Animal
128	40.015	Animal
165	40.015	Animal
106	40.015	Animal
124	40.015	Animal
133	40.015	Animal
127	40.015	Animal
129	40.015	Animal
101	40.015	Animal
111	40.015	Animal
118	40.015	Animal
117	40.015	Animal
115	40.015	Animal
113	40.015	Animal
115	40.015	Animal
101	40.015	Animal
117	40.015	Animal
98	40.015	Animal
162	40.015	Animal
91	40.015	Animal
118	40.015	Animal
165	40.015	Animal
130	40.015	Animal
123	40.015	Animal
116	40.015	Animal
128	40.015	Animal
133	40.015	Animal
123	40.015	Animal
141	40.015	Animal
118	40.015	Animal
82	40.015	Animal
125	40.015	Animal
112	40.015	Animal
115	40.015	Animal
121	40.015	Animal
113	40.015	Animal
118	40.015	Animal
125	40.015	Animal
121	40.015	Animal
166	40.015	Animal
112	40.015	Animal
76	40.015	Animal
120	40.015	Animal
173	40.015	Animal
182	40.015	Animal
148	40.015	Animal
173	40.015	Animal
122	40.015	Animal
126	40.015	Animal
141	40.015	Animal
112	40.015	Animal
75	40.015	Animal
139	40.015	Animal
136	40.015	Animal
138	40.015	Animal
125	40.015	Animal
65	40.015	Animal
118	40.015	Animal
125	40.015	Animal
127	40.015	Animal
152	40.015	Animal
146	40.015	Animal
77	40.015	Animal
142	40.015	Animal
112	40.015	Animal
173	40.015	Animal
134	40.015	Animal
152	40.015	Animal
122	40.015	Animal
147	40.015	Animal
108	40.015	Animal
125	40.015	Animal
72	40.015	Animal
125	40.015	Animal
127	40.015	Animal
113	40.015	Animal
154	40.015	Animal
128	40.015	Animal
127	40.015	Animal
143	40.015	Animal
133	40.015	Animal
112	40.015	Animal
