OO	Latitude	Location
37	0.351	Distal gut
141	0.351	Distal gut
125	0.351	Distal gut
49	0.351	Distal gut
22	0.351	Distal gut
28	0.351	Distal gut
54	0.693	Distal gut
68	0.693	Distal gut
12	0.693	Distal gut
13	0.693	Distal gut
85	0.693	Distal gut
58	0.693	Distal gut
244	1.404	Distal gut
242	1.404	Distal gut
226	1.404	Distal gut
236	1.404	Distal gut
224	1.404	Distal gut
232	1.404	Distal gut
262	1.404	Distal gut
259	1.404	Distal gut
281	1.404	Distal gut
288	1.404	Distal gut
248	1.404	Distal gut
246	1.404	Distal gut
343	1.404	Distal gut
309	1.404	Distal gut
232	1.404	Distal gut
243	1.404	Distal gut
296	1.404	Distal gut
250	1.404	Distal gut
227	1.404	Distal gut
227	1.404	Distal gut
293	1.404	Distal gut
309	1.404	Distal gut
254	1.404	Distal gut
268	1.404	Distal gut
252	1.404	Distal gut
237	1.404	Distal gut
240	1.404	Distal gut
230	1.404	Distal gut
222	1.404	Distal gut
218	1.404	Distal gut
226	1.404	Distal gut
224	1.404	Distal gut
237	1.404	Distal gut
225	1.404	Distal gut
273	1.404	Distal gut
265	1.404	Distal gut
252	1.404	Distal gut
247	1.404	Distal gut
255	1.404	Distal gut
246	1.404	Distal gut
207	1.404	Distal gut
209	1.404	Distal gut
194	1.404	Distal gut
195	1.404	Distal gut
253	1.404	Distal gut
254	1.404	Distal gut
259	1.404	Distal gut
264	1.404	Distal gut
330	1.404	Distal gut
331	1.404	Distal gut
290	1.404	Distal gut
280	1.404	Distal gut
290	1.404	Distal gut
299	1.404	Distal gut
221	1.404	Distal gut
291	1.404	Distal gut
161	1.404	Distal gut
168	1.404	Distal gut
230	1.404	Distal gut
238	1.404	Distal gut
148	1.404	Distal gut
150	1.404	Distal gut
145	1.404	Distal gut
145	1.404	Distal gut
138	1.404	Distal gut
144	1.404	Distal gut
223	1.404	Distal gut
224	1.404	Distal gut
196	1.404	Distal gut
198	1.404	Distal gut
213	1.404	Distal gut
190	1.404	Distal gut
207	1.404	Distal gut
204	1.404	Distal gut
255	1.404	Distal gut
247	1.404	Distal gut
336	1.404	Distal gut
256	1.404	Distal gut
303	1.404	Distal gut
285	1.404	Distal gut
291	2.4153	Surface
146	2.4153	Distal gut
108	2.4153	Secretion
197	2.4153	Surface
134	2.4153	Secretion
111	2.4153	Secretion
493	2.4153	Surface
266	2.4153	Distal gut
128	2.4153	Secretion
320	2.4153	Surface
336	2.4153	Distal gut
61	2.4153	Secretion
567	2.4153	Surface
102	2.4153	Distal gut
102	2.4153	Secretion
522	2.4153	Surface
174	2.4153	Distal gut
60	2.4153	Secretion
184	2.4153	Distal gut
270	2.4153	Secretion
148	2.4153	Secretion
507	2.4153	Surface
109	2.4153	Distal gut
63	2.4153	Secretion
491	2.4153	Surface
266	2.4153	Distal gut
31	2.4153	Secretion
425	2.4153	Surface
67	2.4153	Secretion
114	2.4153	Secretion
325	2.4153	Surface
96	2.4153	Distal gut
63	2.4153	Secretion
465	2.4153	Surface
100	2.4153	Distal gut
103	2.4153	Secretion
94	2.4153	Secretion
516	2.4153	Surface
226	2.4153	Distal gut
282	2.4153	Secretion
433	2.4153	Surface
81	2.4153	Distal gut
135	2.4153	Secretion
342	2.4153	Surface
139	2.4153	Distal gut
411	2.4153	Surface
307	2.4153	Distal gut
355	2.4153	Surface
243	2.4153	Distal gut
85	2.4153	Secretion
253	2.4153	Distal gut
74	2.4153	Secretion
468	2.4153	Surface
235	2.4153	Distal gut
98	2.4153	Secretion
387	2.4153	Surface
74	2.4153	Distal gut
59	2.4153	Secretion
366	2.4153	Surface
37	2.4153	Secretion
93	2.4153	Secretion
495	2.4153	Surface
111	2.4153	Secretion
111	2.4153	Secretion
329	2.4153	Surface
152	2.4153	Distal gut
240	2.4153	Secretion
200	2.4153	Surface
317	2.4153	Distal gut
44	2.4153	Secretion
242	2.4153	Surface
163	2.4153	Distal gut
127	2.4153	Secretion
388	2.4153	Surface
121	2.4153	Distal gut
509	2.4153	Surface
23	2.4153	Secretion
81	2.4153	Secretion
503	2.4153	Surface
143	2.4153	Distal gut
133	2.4153	Secretion
77	2.4153	Secretion
429	2.4153	Surface
66	2.4153	Secretion
402	2.4153	Surface
298	2.4153	Distal gut
19	2.4153	Secretion
621	2.4153	Surface
270	2.4153	Distal gut
38	2.4153	Secretion
374	2.4153	Surface
139	2.4153	Distal gut
56	2.4153	Secretion
396	2.4153	Surface
66	2.4153	Distal gut
203	2.4153	Secretion
106	2.4153	Secretion
429	2.4153	Surface
274	2.4153	Distal gut
104	2.4153	Secretion
563	2.4153	Surface
112	2.4153	Distal gut
456	2.4153	Surface
139	2.4153	Distal gut
22	2.4153	Secretion
82	2.4153	Secretion
424	2.4153	Surface
240	2.4153	Distal gut
64	2.4153	Secretion
456	2.4153	Surface
265	2.4153	Distal gut
102	2.4153	Secretion
544	2.4153	Surface
154	2.4153	Distal gut
434	2.4153	Surface
195	2.4153	Distal gut
106	2.4153	Secretion
411	2.4153	Surface
240	2.4153	Distal gut
62	2.4153	Secretion
326	2.4153	Surface
131	2.4153	Distal gut
111	2.4153	Secretion
390	2.4153	Surface
189	2.4153	Distal gut
133	2.4153	Secretion
30	2.4153	Secretion
226	2.4153	Surface
112	2.4153	Distal gut
108	2.4153	Secretion
410	2.4153	Surface
34	2.4153	Secretion
84	2.4153	Secretion
196	2.4153	Surface
149	2.4153	Distal gut
27	2.4153	Secretion
69	2.4153	Secretion
272	2.4153	Surface
152	2.4153	Distal gut
290	2.4153	Surface
105	2.4153	Distal gut
24	2.4153	Secretion
62	2.4153	Secretion
636	2.4153	Surface
228	2.4153	Distal gut
353	2.4153	Surface
180	2.4153	Secretion
314	2.4153	Surface
197	2.4153	Secretion
95	2.4153	Secretion
42	2.4153	Secretion
185	2.4153	Surface
89	2.4153	Distal gut
27	2.4153	Secretion
341	2.4153	Surface
86	2.4153	Secretion
139	2.4153	Secretion
491	2.4153	Surface
156	2.4153	Secretion
402	2.4153	Surface
143	2.4153	Distal gut
159	2.4153	Secretion
228	2.4153	Surface
154	2.4153	Distal gut
231	2.4153	Secretion
274	2.4153	Surface
124	2.4153	Secretion
81	2.4153	Secretion
121	2.4153	Secretion
366	2.4153	Surface
17	2.4153	Secretion
154	2.4153	Secretion
266	2.4153	Surface
169	2.4153	Distal gut
18	2.4153	Secretion
183	2.4153	Surface
90	2.4153	Distal gut
56	2.4153	Secretion
29	2.4153	Secretion
270	2.4153	Surface
176	2.4153	Distal gut
68	2.4153	Secretion
403	2.4153	Surface
214	2.4153	Distal gut
57	2.4153	Secretion
305	2.4153	Surface
109	2.4153	Distal gut
89	2.4153	Secretion
734	2.4153	Surface
111	2.4153	Secretion
304	2.4153	Surface
393	2.4153	Surface
67	2.4153	Secretion
65	2.4153	Secretion
346	2.4153	Surface
205	2.4153	Distal gut
132	2.4153	Secretion
