OO	Latitude	Location
1019	43.63	Soil
1090	43.64	Soil
671	64.87	Soil
757	69.33	Soil
617	57.29	Soil
690	67.54	Soil
1054	57.08	Soil
992	57.31	Soil
1098	43.49	Soil
672	48.61	Soil
1201	45.56	Soil
144	77.435	Water
139	77.435	Water
414	77.435	Water
576	77.435	Water
300	77.435	Water
179	77.435	Water
1180	77.364	Water
1179	77.364	Water
1014	77.364	Water
1185	77.364	Water
560	77.364	Water
1137	77.364	Water
219	77.435	Water
52	77.364	Water
51	77.364	Water
41	77.364	Water
43	77.364	Water
21	77.364	Water
27	77.364	Water
70	77.435	Water
45	77.435	Water
78	77.435	Water
53	77.435	Water
63	77.316	Water
35	77.316	Water
63	77.316	Water
41	77.316	Water
71	77.316	Water
32	77.316	Water
85	77.316	Water
36	77.316	Water
55	77.435	Water
50	77.435	Water
285	77.435	Water
82	77.435	Water
81	77.435	Water
90	77.435	Water
50	77.435	Water
85	77.435	Water
65	77.435	Water
74	77.435	Water
59	77.435	Water
76	77.435	Water
68	77.435	Water
41	77.316	Water
229	77.316	Water
38	77.316	Water
60	77.316	Water
58	77.364	Water
85	77.364	Water
41	77.364	Water
55	77.364	Water
28	77.364	Water
47	77.364	Water
551	77.435	Water
16	77.435	Water
37	77.435	Water
7	77.435	Water
16	77.435	Water
13	77.435	Water
12	77.435	Water
28	77.435	Water
14	77.435	Water
17	77.316	Water
7	77.316	Water
16	77.364	Water
12	77.364	Water
23	77.364	Water
122	77.364	Water
102	77.435	Water
66	77.435	Water
43	77.435	Water
30	77.435	Water
42	77.435	Water
29	77.435	Water
54	77.316	Water
52	77.316	Water
61	77.316	Water
73	77.316	Water
161	77.316	Water
57	77.316	Water
385	77.316	Water
124	77.316	Water
161	77.316	Water
224	77.316	Water
211	77.316	Water
277	77.316	Water
347	77.316	Water
76	77.316	Water
434	40.017	Soil
690	40.017	Soil
596	40.017	Soil
648	40.017	Soil
725	40.017	Soil
681	40.017	Soil
673	40.017	Soil
620	40.017	Soil
614	40.017	Soil
671	40.017	Soil
656	40.017	Soil
668	40.017	Soil
682	40.017	Soil
683	40.017	Soil
674	40.017	Soil
664	40.017	Soil
687	40.017	Soil
695	40.017	Soil
741	40.017	Soil
767	40.017	Soil
714	40.017	Soil
704	40.017	Soil
606	40.017	Soil
549	46.038	Water
635	46.038	Water
736	46.038	Water
1453	46.745	Soil
1212	33.674	Soil
144	46.73	Water
204	46.009	Water
1123	31.712	Soil
603	32.551	Sediment
683	32.551	Sediment
484	46.038	Water
490	46.038	Water
617	46.038	Water
1366	46.745	Soil
1166	33.674	Soil
145	46.73	Water
201	46.009	Water
1054	31.712	Soil
569	32.551	Sediment
650	32.551	Sediment
545	46.038	Water
537	46.038	Water
687	46.038	Water
1403	46.745	Soil
1152	33.674	Soil
137	46.73	Water
211	46.009	Water
1113	31.712	Soil
563	32.551	Sediment
691	32.551	Sediment
518	46.038	Water
576	46.038	Water
704	46.038	Water
1390	46.745	Soil
1197	33.674	Soil
153	46.73	Water
220	46.009	Water
1106	31.712	Soil
597	32.551	Sediment
667	32.551	Sediment
552	46.038	Water
619	46.038	Water
747	46.038	Water
1444	46.745	Soil
1242	33.674	Soil
146	46.73	Water
211	46.009	Water
1109	31.712	Soil
674	32.551	Sediment
613	32.551	Sediment
722	32.551	Sediment
641	46.038	Water
682	46.038	Water
798	46.038	Water
1413	46.745	Soil
1204	33.674	Soil
159	46.73	Water
222	46.009	Water
1110	31.712	Soil
656	32.551	Sediment
607	32.551	Sediment
690	32.551	Sediment
598	46.038	Water
643	46.038	Water
748	46.038	Water
1450	46.745	Soil
1266	33.674	Soil
168	46.73	Water
225	46.009	Water
1124	31.712	Soil
594	32.551	Sediment
642	32.551	Sediment
288	55.873	Water
241	55.905	Soil
415	55.873	Water
400	55.873	Soil
1036	55.873	Soil
1165	55.873	Soil
766	55.873	Soil
1047	55.873	Soil
1073	55.873	Soil
725	55.873	Soil
1200	55.873	Soil
571	55.873	Soil
754	55.873	Soil
987	55.873	Soil
783	55.873	Soil
1318	55.873	Soil
1031	55.873	Soil
1162	55.873	Soil
804	55.873	Soil
1221	55.873	Soil
1055	55.873	Soil
811	55.873	Soil
831	55.873	Soil
786	55.873	Soil
688	55.873	Soil
960	55.873	Soil
764	55.873	Soil
1408	55.873	Soil
869	55.873	Soil
1032	55.873	Soil
773	55.873	Soil
1166	55.873	Soil
797	55.873	Soil
930	55.873	Soil
824	55.873	Soil
754	55.873	Soil
867	55.873	Soil
696	55.873	Soil
1173	55.873	Soil
815	55.873	Soil
916	55.873	Soil
620	55.873	Soil
550	55.873	Soil
510	55.873	Soil
423	55.873	Soil
1040	55.873	Soil
1056	55.873	Soil
781	55.873	Soil
332	55.873	Soil
421	55.873	Soil
1128	55.873	Soil
797	55.873	Soil
576	55.873	Soil
629	55.873	Soil
493	55.873	Soil
812	55.873	Soil
409	55.873	Soil
953	55.873	Soil
1157	55.873	Soil
837	55.873	Soil
640	55.873	Soil
1172	55.873	Soil
741	55.873	Soil
752	55.873	Soil
358	55.873	Soil
609	55.873	Soil
776	55.873	Soil
1301	55.873	Soil
1003	55.873	Soil
880	55.873	Soil
914	55.873	Soil
905	55.873	Soil
533	55.873	Soil
681	55.873	Soil
519	55.873	Soil
370	55.873	Soil
649	55.873	Water
426	55.873	Soil
384	55.873	Soil
1031	55.873	Soil
917	55.873	Soil
678	55.873	Soil
726	55.873	Soil
365	55.873	Soil
389	55.873	Soil
511	55.873	Soil
529	55.873	Soil
267	55.873	Soil
370	55.873	Soil
352	55.873	Soil
506	55.873	Soil
476	55.873	Soil
473	55.873	Water
783	55.873	Water
328	55.873	Water
365	55.873	Water
458	55.873	Soil
472	55.873	Soil
239	55.873	Soil
351	55.873	Soil
345	55.873	Soil
653	55.873	Soil
364	55.873	Soil
1264	55.873	Soil
622	55.873	Soil
623	55.873	Soil
466	55.873	Soil
419	55.873	Soil
278	55.873	Soil
334	55.873	Soil
289	55.873	Soil
1390	55.873	Water
1325	55.873	Soil
1236	55.873	Soil
660	55.873	Soil
562	55.873	Soil
745	55.873	Soil
486	55.873	Soil
430	55.873	Soil
429	55.873	Soil
229	55.873	Soil
313	55.873	Soil
205	55.873	Soil
902	55.873	Soil
1256	55.873	Soil
1262	55.873	Soil
723	55.873	Soil
482	55.873	Soil
570	55.873	Soil
357	55.873	Soil
398	55.873	Soil
259	55.873	Soil
262	55.873	Soil
248	55.873	Soil
900	55.873	Soil
1154	55.873	Soil
1177	55.873	Soil
821	55.873	Soil
595	55.873	Soil
586	55.873	Soil
558	55.873	Soil
347	55.873	Soil
256	55.873	Soil
236	55.873	Soil
279	55.873	Soil
70	55.873	Water
890	55.873	Soil
938	55.873	Soil
977	55.873	Soil
842	55.873	Soil
659	55.873	Soil
822	55.873	Soil
511	55.873	Soil
381	55.873	Soil
330	55.873	Soil
239	55.873	Soil
397	55.873	Soil
173	55.873	Soil
150	55.873	Soil
93	55.873	Soil
982	55.873	Soil
961	55.873	Soil
429	55.873	Soil
291	55.873	Soil
352	55.873	Soil
321	55.873	Soil
167	55.873	Soil
124	55.873	Soil
98	55.873	Soil
171	55.873	Soil
131	55.873	Soil
81	55.873	Soil
1369	55.873	Soil
497	55.873	Soil
429	55.873	Soil
231	55.873	Soil
322	55.873	Soil
270	55.873	Soil
193	55.873	Soil
130	55.873	Soil
99	55.873	Soil
169	55.873	Soil
107	55.873	Soil
101	55.873	Soil
1056	55.873	Soil
935	55.873	Soil
397	55.873	Soil
236	55.873	Soil
315	55.873	Soil
228	55.873	Soil
164	55.873	Soil
108	55.873	Soil
78	55.873	Soil
132	55.873	Soil
89	55.873	Soil
1277	55.873	Soil
410	55.873	Soil
241	55.873	Soil
243	55.873	Soil
295	55.873	Soil
250	55.873	Soil
116	55.873	Soil
114	55.873	Soil
127	55.905	Water
1266	55.905	Soil
1312	55.906	Soil
1166	55.905	Soil
1158	55.905	Soil
1177	55.905	Soil
1228	55.905	Soil
1276	55.905	Soil
963	55.905	Soil
971	55.906	Soil
1130	55.905	Soil
1141	55.905	Soil
1123	55.905	Soil
1012	55.906	Soil
1166	55.905	Water
1164	55.905	Soil
1127	55.905	Soil
1202	55.905	Soil
1255	55.905	Soil
1046	55.905	Soil
1040	55.906	Soil
1167	55.905	Soil
1025	55.905	Soil
1095	55.906	Soil
1313	55.905	Water
1152	55.905	Soil
1082	55.905	Soil
1129	55.905	Soil
1224	55.905	Soil
1254	55.905	Soil
974	55.905	Soil
1020	55.906	Soil
1154	55.905	Soil
1069	55.905	Soil
1167	55.905	Soil
1052	55.906	Soil
1178	55.905	Soil
1137	55.905	Soil
365	55.906	Water
1182	55.905	Soil
1101	55.906	Soil
619	55.905	Soil
722	55.905	Soil
738	55.906	Soil
1159	55.905	Soil
1204	55.905	Soil
1274	55.905	Water
1056	55.905	Soil
1131	55.906	Soil
1311	55.906	Soil
1176	55.906	Soil
794	55.905	Water
607	55.905	Soil
675	55.905	Soil
695	55.906	Soil
1071	55.905	Soil
1272	55.905	Soil
1171	55.905	Soil
1178	55.906	Soil
1375	55.906	Soil
1135	55.905	Water
1148	55.906	Soil
804	55.905	Water
596	55.905	Soil
541	55.905	Soil
694	55.906	Soil
1064	55.905	Soil
1135	55.905	Soil
1128	55.905	Soil
1094	55.906	Soil
1196	55.906	Soil
1032	55.905	Water
1147	55.906	Soil
643	55.905	Soil
649	55.905	Soil
1299	55.906	Water
