OO	Latitude	Location
338	33.966608	Surface
453	33.966608	Surface
491	33.966608	Surface
612	33.966608	Surface
563	33.966608	Surface
457	33.991889	Surface
338	33.991889	Surface
348	33.991889	Surface
332	33.991889	Surface
352	33.991889	Surface
369	33.966608	Surface
168	33.966608	Surface
562	33.966608	Surface
607	33.966608	Surface
540	33.966608	Surface
411	33.991889	Surface
443	33.991889	Surface
341	33.991889	Surface
327	33.991889	Surface
365	31.7778167	Surface
211	31.7778167	Surface
177	31.7778167	Surface
197	31.7778167	Surface
279	31.7778167	Surface
161	31.7778167	Surface
210	31.7778167	Surface
237	31.7778167	Surface
114	31.7778167	Surface
120	31.7778167	Surface
192	31.78883	Surface
262	31.78883	Surface
163	31.78883	Surface
355	31.78883	Surface
211	31.78883	Surface
143	31.78883	Surface
184	31.78883	Surface
214	31.78883	Surface
293	31.78883	Surface
238	31.78883	Surface
235	31.86453	Surface
228	31.86453	Surface
336	31.86453	Surface
558	31.86453	Surface
199	31.86453	Surface
353	43.425683	Surface
267	43.52965	Surface
313	43.52965	Surface
256	42.9509167	Surface
302	33.966608	Surface
254	33.966608	Surface
310	33.991889	Surface
390	33.991889	Surface
241	30.310467	Surface
387	30.310467	Surface
288	30.310467	Surface
347	30.310467	Surface
328	30.310467	Surface
342	30.310467	Surface
391	30.310467	Surface
570	30.310467	Surface
385	30.310467	Surface
516	30.310467	Surface
294	30.265983	Surface
409	30.265983	Surface
385	30.265983	Surface
271	30.265983	Surface
416	30.265983	Surface
798	30.265983	Surface
298	30.265983	Surface
292	30.265983	Surface
186	30.265983	Surface
269	30.265983	Surface
273	34.256467	Surface
216	34.256467	Surface
152	34.256467	Surface
205	34.256467	Surface
203	34.256467	Surface
171	34.256467	Surface
344	34.256467	Surface
382	34.256467	Surface
275	34.256467	Surface
156	34.256467	Surface
425	34.26785	Surface
187	34.26785	Surface
147	34.26785	Surface
174	34.26785	Surface
74	34.26785	Surface
410	34.26785	Surface
346	34.26785	Surface
457	34.26785	Surface
143	34.26785	Surface
152	34.26785	Surface
124	34.22993	Surface
271	34.22993	Surface
222	34.22993	Surface
203	34.22993	Surface
177	34.22993	Surface
217	34.22993	Surface
135	34.22993	Surface
126	34.22993	Surface
100	34.22993	Surface
450	34.22993	Surface
168	43.136867	Surface
112	43.136867	Surface
169	43.136867	Surface
129	43.136867	Surface
168	43.136867	Surface
319	43.136867	Surface
309	43.136867	Surface
266	43.136867	Surface
343	43.136867	Surface
245	43.136867	Surface
149	43.136867	Surface
143	43.136867	Surface
170	43.136867	Surface
138	43.136867	Surface
132	43.136867	Surface
172	43.12335	Surface
148	43.12335	Surface
122	43.12335	Surface
217	43.12335	Surface
191	43.12335	Surface
304	43.12335	Surface
268	43.12335	Surface
252	43.12335	Surface
212	43.12335	Surface
390	43.12335	Surface
437	43.12335	Surface
480	43.12335	Surface
515	43.12335	Surface
577	43.12335	Surface
501	43.12335	Surface
378	43.139883	Surface
392	43.139883	Surface
301	43.139883	Surface
396	43.139883	Surface
407	43.139883	Surface
495	43.139883	Surface
577	43.139883	Surface
542	43.139883	Surface
528	43.139883	Surface
564	43.139883	Surface
499	43.139883	Surface
389	43.139883	Surface
570	43.139883	Surface
364	43.139883	Surface
486	43.139883	Surface
376	41.8693167	Surface
208	41.8693167	Surface
229	41.8693167	Surface
204	41.8693167	Surface
241	41.8693167	Surface
246	41.8693167	Surface
326	41.8693167	Surface
368	41.8693167	Surface
599	41.8693167	Surface
299	41.8693167	Surface
232	41.8693167	Surface
306	41.8693167	Surface
315	41.8693167	Surface
288	41.8693167	Surface
247	41.8693167	Surface
276	41.86463	Surface
480	41.86463	Surface
254	41.86463	Surface
262	41.86463	Surface
189	41.86463	Surface
331	41.86463	Surface
406	41.86463	Surface
225	41.86463	Surface
201	41.86463	Surface
289	41.86463	Surface
171	41.86463	Surface
218	41.86463	Surface
219	41.86463	Surface
216	41.86463	Surface
202	41.86463	Surface
133	41.908767	Surface
241	41.908767	Surface
158	41.908767	Surface
142	41.908767	Surface
147	41.908767	Surface
212	41.908767	Surface
432	41.908767	Surface
373	41.908767	Surface
501	41.908767	Surface
283	41.908767	Surface
136	41.908767	Surface
106	41.908767	Surface
170	41.908767	Surface
191	41.908767	Surface
163	41.908767	Surface
143	43.42568	Surface
183	43.42568	Surface
161	43.42568	Surface
170	43.42568	Surface
100	43.42568	Surface
244	43.42568	Surface
151	43.42568	Surface
93	43.42568	Surface
98	43.42568	Surface
182	43.52965	Surface
226	43.52965	Surface
213	43.52965	Surface
249	43.52965	Surface
249	43.52965	Surface
173	43.52965	Surface
132	43.52965	Surface
135	43.52965	Surface
161	43.52965	Surface
109	43.52965	Surface
