OO	Latitude	Location
95	48.38	Surface
187	48.38	Surface
190	48.38	Surface
181	48.38	Surface
195	48.38	Surface
181	48.38	Surface
168	48.38	Surface
414	48.38	Surface
262	48.38	Surface
208	48.38	Surface
296	48.38	Surface
36	48.38	Surface
239	48.38	Surface
205	48.38	Surface
254	48.38	Surface
84	48.36	Surface
139	48.36	Surface
132	48.36	Surface
112	48.36	Surface
120	48.36	Surface
126	48.36	Surface
85	48.36	Surface
91	48.36	Surface
73	48.36	Surface
91	48.36	Surface
63	48.36	Surface
79	48.36	Surface
436	48.36	Water
354	48.36	Water
89	48.36	Water
326	48.36	Surface
429	48.36	Surface
310	48.36	Surface
366	48.36	Surface
367	48.36	Surface
263	48.36	Surface
379	48.36	Surface
235	48.36	Surface
389	48.36	Surface
301	48.36	Surface
109	48.38	Surface
124	48.38	Surface
963	50.338	Sediment
1009	50.338	Sediment
1039	50.338	Sediment
1054	50.338	Sediment
1078	50.338	Sediment
1039	50.338	Sediment
716	50.338	Sediment
1073	50.338	Sediment
1219	50.338	Sediment
1350	50.338	Sediment
1651	50.338	Sediment
952	50.338	Sediment
1752	50.338	Sediment
1144	50.338	Sediment
1054	50.338	Sediment
999	50.338	Sediment
1358	50.338	Sediment
916	50.338	Sediment
767	50.338	Sediment
1147	50.338	Sediment
986	50.338	Sediment
710	50.338	Sediment
1720	50.338	Sediment
1211	50.338	Sediment
1118	50.338	Sediment
1108	50.338	Sediment
1150	50.338	Sediment
1278	50.338	Sediment
1566	50.338	Sediment
1013	50.338	Sediment
667	50.338	Sediment
1246	50.338	Sediment
707	50.338	Sediment
1111	50.338	Sediment
1184	50.338	Sediment
1166	50.338	Sediment
974	50.338	Sediment
537	50.338	Sediment
1042	50.338	Sediment
1276	50.338	Sediment
928	50.338	Sediment
916	50.338	Sediment
1473	50.338	Sediment
1228	50.338	Sediment
867	50.338	Sediment
997	50.338	Sediment
717	50.338	Sediment
989	50.338	Sediment
866	50.338	Sediment
671	50.338	Sediment
759	50.338	Sediment
1004	50.338	Sediment
967	50.338	Sediment
861	50.338	Sediment
985	50.338	Sediment
663	50.338	Sediment
929	50.338	Sediment
900	50.338	Sediment
1006	50.338	Sediment
620	50.338	Sediment
688	50.338	Sediment
991	50.338	Sediment
508	50.338	Sediment
765	50.338	Sediment
952	50.338	Sediment
945	50.338	Sediment
879	50.338	Sediment
1133	50.338	Sediment
641	50.338	Sediment
940	50.338	Sediment
861	50.338	Sediment
608	50.338	Sediment
929	50.338	Sediment
1070	50.338	Sediment
731	50.338	Sediment
1005	50.338	Sediment
787	50.338	Sediment
721	50.338	Sediment
1063	50.338	Sediment
1048	50.338	Sediment
632	50.338	Sediment
599	50.338	Sediment
887	50.338	Sediment
779	50.338	Sediment
765	50.338	Sediment
957	50.338	Sediment
1202	50.338	Sediment
1322	50.338	Sediment
1355	50.338	Sediment
999	50.338	Sediment
959	50.338	Sediment
