Location	Temperature	Shannon Index
Non-saline	0	9.154439833
Non-saline	0.1	8.20764996
Non-saline	0.1	8.986478692
Non-saline	0.15	5.482165532
Non-saline	0.15	5.462661563
Non-saline	0.2	4.839648541
Non-saline	0.2	6.039123511
Non-saline	0.2	8.239679045
Non-saline	0.32	5.606312813
Non-saline	0.33	7.432187122
Non-saline	0.4	5.050171856
Non-saline	0.4	5.586711885
Non-saline	0.4	4.996466308
Non-saline	0.4	5.355607368
Non-saline	0.4	9.078819163
Saline	0.45	5.403417507
Non-saline	0.5	5.443955795
Non-saline	0.5	5.26751288
Non-saline	0.5	4.458584331
Non-saline	0.5	5.300174402
Saline	0.5	5.311921216
Non-saline	0.55	7.388048365
Non-saline	0.56	6.944649705
Non-saline	0.56	5.396969805
Non-saline	0.6	4.944479263
Non-saline	0.6	5.2820011
Non-saline	0.62	5.845314015
Non-saline	0.65	5.206341223
Non-saline	0.7	5.104445645
Non-saline	0.7	5.401442757
Non-saline	0.7	5.069161384
Non-saline	0.7	5.00240498
Non-saline	0.7	8.468945602
Non-saline	0.71	5.274551396
Non-saline	0.72	5.563318906
Non-saline	0.73	5.589366066
Non-saline	0.75	4.823755171
Non-saline	0.75	3.995423679
Non-saline	0.76	7.497963947
Non-saline	0.76	7.526543597
Non-saline	0.77	7.150810938
Non-saline	0.78	7.556699642
Non-saline	0.85	9.138507483
Non-saline	0.92	5.296729658
Non-saline	0.93	7.367325006
Non-saline	0.96	7.195591476
Non-saline	0.97	5.315554843
Non-saline	0.97	5.253880258
Non-saline	1	6.599509391
Non-saline	1.02	7.897241974
Non-saline	1.11	5.232312296
Non-saline	1.11	6.085115338
Non-saline	1.18	6.443985491
Non-saline	1.19	7.843439358
Non-saline	1.2	4.801760434
Non-saline	1.2	5.220948225
Non-saline	1.3	5.989403489
Non-saline	1.3	6.078447857
Non-saline	1.3	0.824210963
Non-saline	1.3	0.616311448
Non-saline	1.3	7.529141233
Non-saline	1.3	6.807446205
Non-saline	1.34	6.833078931
Non-saline	1.37	6.676967718
Non-saline	1.4	5.153769496
Non-saline	1.41	6.011191874
Non-saline	1.5	5.610048171
Non-saline	1.53	7.286812528
Non-saline	1.59	5.868944705
Non-saline	1.6	5.153278855
Non-saline	1.6	7.408669862
Non-saline	1.61	5.482313737
Non-saline	1.67	6.216215874
Saline	1.7723	6.355699254
Saline	1.8	6.465341349
Non-saline	1.81	6.624627579
Non-saline	1.83	6.753312469
Non-saline	1.86	7.81152007
Non-saline	1.87	6.34573596
Non-saline	1.9	4.376012796
Non-saline	1.9	4.547378529
Non-saline	1.9	7.211937791
Non-saline	1.9	7.039487447
Non-saline	1.9	6.612369573
Saline	1.9	4.785388233
Non-saline	1.9	6.695075457
Non-saline	1.92	7.561802668
Non-saline	1.92	6.604914004
Non-saline	1.93	7.359046543
Non-saline	1.94	5.789172668
Non-saline	1.95	6.899469164
Saline	2	3.909014308
Saline	2	3.551182484
Non-saline	2.03	7.245541482
Non-saline	2.03	7.01511484
Saline	2.0347	4.619387798
Saline	2.0347	4.088292565
Non-saline	2.05	6.444570295
