Latitude	Shannon	Location
40.015	4.244830963	Animal
40.015	3.027416268	Animal
40.015	3.1964195	Animal
40.015	3.714719053	Animal
40.015	3.969038494	Animal
40.015	3.877217643	Animal
40.015	3.683993089	Animal
40.015	3.647652109	Animal
40.015	3.406233003	Animal
40.015	3.686230648	Animal
40.015	3.686633104	Animal
40.015	3.306581589	Animal
40.015	3.035839438	Animal
40.015	4.321814629	Animal
40.015	3.380529714	Animal
40.015	3.254724316	Animal
40.015	3.968643649	Animal
40.015	3.577294082	Animal
40.015	3.641051307	Animal
40.015	3.867413994	Animal
40.015	3.755518286	Animal
40.015	3.57563535	Animal
40.015	3.265164072	Animal
40.015	3.187469465	Animal
40.015	3.301772594	Animal
40.015	3.363321747	Animal
40.015	3.53137934	Animal
40.015	3.592214056	Animal
40.015	3.726172593	Animal
40.015	3.870929446	Animal
40.015	3.470669221	Animal
40.015	3.488965981	Animal
40.015	3.987801578	Animal
40.015	3.307680461	Animal
40.015	3.005468812	Animal
40.015	3.107061936	Animal
40.015	3.366727965	Animal
40.015	3.565325214	Animal
40.015	2.822402327	Animal
40.015	3.352478464	Animal
40.015	3.160838633	Animal
40.015	3.196411791	Animal
40.015	4.73151121	Animal
40.015	4.264742099	Animal
40.015	4.246032776	Animal
40.015	2.809102479	Animal
40.015	3.681355871	Animal
40.015	3.347886333	Animal
40.015	4.632709885	Animal
40.015	3.705818568	Animal
40.015	4.746120748	Animal
40.015	4.870171906	Animal
40.015	4.004297038	Animal
40.015	5.29405244	Animal
40.015	5.049888201	Animal
40.015	4.753284512	Animal
40.015	2.878727665	Animal
40.015	5.164610747	Animal
40.015	4.963277795	Animal
40.015	3.815622408	Animal
40.015	4.99251818	Animal
40.015	3.773237243	Animal
40.015	3.584428271	Animal
40.015	4.407929201	Animal
40.015	3.795552792	Animal
40.015	3.909480838	Animal
40.015	4.172190831	Animal
40.015	3.280762476	Animal
40.015	4.33647714	Animal
40.015	3.723922851	Animal
40.015	3.996027921	Animal
40.015	3.822531307	Animal
40.015	3.661123685	Animal
40.015	5.160583918	Animal
40.015	4.321371429	Animal
40.015	4.140300334	Animal
40.015	4.037026917	Animal
40.015	5.38672159	Animal
40.015	3.277488518	Animal
40.015	4.070950185	Animal
40.015	4.201692426	Animal
40.015	3.415555514	Animal
40.015	3.95051147	Animal
40.015	3.998156232	Animal
40.015	5.621656028	Animal
40.015	4.575359762	Animal
40.015	4.068677718	Animal
40.015	5.859076599	Animal
40.015	4.199960326	Animal
40.015	3.274351646	Animal
40.015	3.374403955	Animal
40.015	3.653324253	Animal
40.015	3.769380968	Animal
40.015	4.027488156	Animal
40.015	3.873728156	Animal
40.015	3.831833131	Animal
40.015	4.093521146	Animal
40.015	4.290279732	Animal
40.015	4.398305903	Animal
40.015	4.621056731	Animal
40.015	3.087517526	Animal
40.015	4.447776555	Animal
40.015	4.507832707	Animal
40.015	4.306722383	Animal
40.015	4.439943322	Animal
40.015	5.716899968	Animal
40.015	4.226542105	Animal
40.015	3.679468623	Animal
40.015	4.756560942	Animal
40.015	3.877845354	Animal
40.015	2.51393384	Animal
40.015	3.327600745	Animal
40.015	3.884540905	Animal
40.015	3.781790868	Animal
40.015	4.694468423	Animal
40.015	4.171756657	Animal
40.015	3.705613546	Animal
40.015	3.944748188	Animal
40.015	3.979065166	Animal
40.015	4.034485084	Animal
40.015	4.103920783	Animal
