Shannon Index	Latitude	Location
5.299488389	78.172	Soil
5.679053133	78.165	Soil
5.512623648	78.153	Soil
5.723774648	78.152	Soil
5.377773397	78.152	Soil
5.08432511	78.151	Soil
6.05892924	78.148	Soil
5.193924223	78.148	Soil
5.963955709	78.141	Soil
6.311504733	78.139	Soil
6.453254735	78.135	Soil
5.341099114	78.135	Soil
5.972654798	78.134	Soil
6.122545941	78.132	Soil
5.432011119	78.127	Soil
6.617424036	78.122	Soil
6.923459054	78.122	Soil
5.339429583	78.121	Soil
6.291218375	78.12	Soil
6.040921467	78.119	Soil
5.91915549	78.113	Soil
6.402987464	78.112	Soil
7.473095874	78.11	Soil
5.482281685	78.109	Soil
5.343580607	78.102	Soil
6.200522192	78.101	Soil
6.451535845	78.096	Soil
6.077500163	78.095	Soil
5.940243354	78.094	Soil
6.253290645	78.093	Soil
5.505249036	78.093	Soil
5.240260628	78.092	Soil
5.796965548	78.09	Soil
5.149569066	78.087	Soil
5.232403489	78.087	Soil
5.871998134	78.086	Soil
5.580084039	78.086	Soil
4.621371614	78.083	Soil
6.005256214	78.079	Soil
5.52720678	78.079	Soil
5.344077059	78.079	Soil
5.416180391	78.078	Soil
6.214023365	78.078	Soil
5.947950254	78.078	Soil
5.296084315	78.077	Soil
5.573887903	78.075	Soil
5.970746645	78.074	Soil
6.127184219	78.074	Soil
6.007042429	78.074	Soil
5.207070791	78.074	Soil
6.929597809	78.073	Soil
6.607412019	78.073	Soil
6.272528799	78.073	Soil
5.513545039	78.073	Soil
5.896923703	78.072	Soil
6.900598231	78.071	Soil
7.764039107	78.07	Soil
5.954029547	78.068	Soil
5.910800426	78.066	Soil
6.862435022	78.066	Soil
6.698890956	78.065	Soil
6.511400161	78.065	Soil
7.167938431	78.063	Soil
5.565938087	78.061	Soil
6.413020788	78.059	Soil
5.736745307	78.059	Soil
7.123454248	78.059	Soil
5.980988727	78.058	Soil
5.829179986	78.058	Soil
6.072933816	78.058	Soil
5.551182249	78.058	Soil
6.748045606	78.057	Soil
7.488260165	78.057	Soil
5.425586958	78.056	Soil
7.13228318	78.056	Soil
7.159678486	78.056	Soil
7.126186972	78.053	Soil
6.28071897	78.053	Soil
5.997291506	78.049	Soil
6.747119235	78.048	Soil
5.429248887	78.048	Soil
6.328667318	78.047	Soil
7.805253479	78.047	Soil
5.628136231	78.047	Soil
7.398686734	78.047	Soil
7.365148485	78.047	Soil
5.701673996	78.046	Soil
5.14040597	78.044	Soil
5.810609356	78.044	Soil
6.100736715	78.043	Soil
5.444541516	78.042	Soil
6.205646058	78.042	Soil
4.144638659	78.04	Soil
6.106040266	78.04	Soil
5.823200335	78.039	Soil
6.857765251	78.039	Soil
7.195031077	78.036	Soil
6.936013181	78.036	Soil
5.225803304	78.036	Soil
6.414759808	78.036	Soil
6.070952767	78.034	Soil
5.595603097	78.033	Soil
6.104261141	78.031	Soil
5.509357136	78.03	Soil
6.450096538	78.027	Soil
7.839365076	78.024	Soil
6.119665026	78.023	Soil
6.402163484	78.02	Soil
7.578719788	78.014	Soil
6.679795129	78.009	Soil
7.74047081	78.009	Soil
6.358968989	78.001	Soil
6.204648353	77.73	Soil
3.643007442	77.72	Soil
6.923459111	77.65	Soil
6.727003517	77.63	Soil
7.09924071	77.61	Soil
7.170531137	77.61	Soil
3.690914725	77.53	Soil
6.72554637	77.53	Soil
5.205756001	77.52	Soil
5.650995251	77.52	Soil
4.25095816	77.435	Water
4.983897505	77.435	Water
5.717488693	77.435	Water
6.091616206	77.435	Water
5.03279948	77.435	Water
4.915099269	77.435	Water
4.598864405	77.435	Water
3.887213148	77.435	Water
3.304447624	77.435	Water
4.084255621	77.435	Water
3.664724431	77.435	Water
3.082319972	77.435	Water
2.914036368	77.435	Water
4.562339269	77.435	Water
4.860520463	77.435	Water
4.267602476	77.435	Water
4.374767308	77.435	Water
3.328731863	77.435	Water
4.267486884	77.435	Water
2.971995674	77.435	Water
3.917163757	77.435	Water
2.969705219	77.435	Water
4.09151255	77.435	Water
2.930018954	77.435	Water
4.472765421	77.435	Water
1.044218628	77.435	Water
0.794013681	77.435	Water
0.454263879	77.435	Water
1.132009023	77.435	Water
0.746451039	77.435	Water
1.280877946	77.435	Water
1.72649612	77.435	Water
1.913924603	77.435	Water
4.432758678	77.435	Water
3.049019322	77.435	Water
3.344687429	77.435	Water
2.756566867	77.435	Water
3.162468592	77.435	Water
3.469354577	77.435	Water
9.34645791	77.364	Water
9.410750058	77.364	Water
8.540364053	77.364	Water
9.473946215	77.364	Water
6.769991828	77.364	Water
8.749498398	77.364	Water
3.658056342	77.364	Water
3.331628677	77.364	Water
3.199214299	77.364	Water
2.858827396	77.364	Water
2.709524352	77.364	Water
2.78227494	77.364	Water
3.843518845	77.364	Water
4.375224891	77.364	Water
2.93974674	77.364	Water
3.691586232	77.364	Water
2.561558576	77.364	Water
3.48736906	77.364	Water
0.824382252	77.364	Water
1.219195507	77.364	Water
1.900485805	77.364	Water
3.342363276	77.364	Water
3.420614479	77.316	Water
3.441266807	77.316	Water
4.004561607	77.316	Water
1.445439565	77.316	Water
3.779328847	77.316	Water
2.469355866	77.316	Water
3.318653092	77.316	Water
3.17512144	77.316	Water
3.370586755	77.316	Water
3.975626047	77.316	Water
3.178765696	77.316	Water
3.240366914	77.316	Water
1.726944075	77.316	Water
0.042718152	77.316	Water
3.787091043	77.316	Water
3.285208317	77.316	Water
3.076593801	77.316	Water
3.094954429	77.316	Water
3.566846593	77.316	Water
3.543400388	77.316	Water
5.320261899	77.316	Water
4.78617559	77.316	Water
5.09096883	77.316	Water
5.504111071	77.316	Water
5.370039187	77.316	Water
4.88959475	77.316	Water
5.194288806	77.316	Water
3.571193749	77.316	Water
2.988274606	62.05	Soil
5.328216231	62.05	Soil
3.535630507	62.05	Soil
2.816736369	62.05	Soil
4.794575576	62.05	Soil
3.227222327	62.05	Soil
