sample	latitude_deg	longitude_deg	depth_m	temperature_deg_c	ph
1883.2008.034.Crump.Artic.LTREB.main.lane2.NoIndex	68.705	-149.7316667	0.01	16	7.4
1883.2005.031.Crump.Artic.LTREB.main.lane1.NoIndex	68.58423333	-149.5836	0.01	17.4	6.8
807.W.S.12.b	45.322819	-106.51465	0	10.2	9.4
945.P1.B7.lane2.NoIndex.L002	53.167	13.033	5	7.4	8.54
678.OA.mesocosm.381	50.338	-4.148	5	12.1	7.69
945.P12.G12.lane5.NoIndex.L005	53.333	13.467	2.5	13.9	8.82
945.P8.F7.lane2.NoIndex.L002	53.1	13.033	1	20.4	6.24
804.LS11.72a	44.597	8.7833	0	18.7	12.2
945.P5.D8.lane2.NoIndex.L002	53.167	13.033	40	4.7	7.87
1883.2008.557.Crump.Artic.LTREB.main.lane3.NoIndex	68.632586	-149.600895	6	10.97	8
1883.2009.29.Crump.Artic.LTREB.main.lane3.NoIndex	68.59133	-149.611542	0	11.9	6.5
1883.2008.366.Crump.Artic.LTREB.main.lane2.NoIndex	68.629961	-149.612633	3	2.59	6.9
1883.2011.189.Crump.Artic.LTREB.main.lane3.NoIndex	68.629961	-149.612633	3	14.54	7.9
1883.2008.394.Crump.Artic.LTREB.main.lane2.NoIndex	68.61035	-149.599766	0.01	8	7.2
945.P2.C5.lane2.NoIndex.L002	53.167	13.033	40	3.7	7.77
1883.2004.134.Crump.Artic.LTREB.main.lane1.NoIndex	68.61035	-149.599766	0.01	12.6	7.4
945.P6.H8.lane2.NoIndex.L002	53.1	13.033	0	16.1	4.82
1883.2007.009.Crump.Artic.LTREB.main.lane1.NoIndex	68.578931	-149.579989	1	15.44	7.2
1883.2011.489.Crump.Artic.LTREB.main.lane4.NoIndex	70.11623333	-143.3786833	0.5	10	8.1
945.P4.A1.lane2.NoIndex.L002	53.167	13.033	12	7.4	8.75
1883.2006.33.Crump.Artic.LTREB.main.lane1.NoIndex	68.61035	-149.599766	0.01	10.9	6.8
1883.2009.036.Crump.Artic.LTREB.main.lane3.NoIndex	68.60853333	-149.587633	0.01	10.6	7.3
1883.2007.527.Crump.Artic.LTREB.main.lane2.NoIndex	68.60853333	-149.587633	0.01	13.9	7.5
945.P9.B7.lane3.NoIndex.L003	53.1	13.033	0.5	17.9	5.15
945.P8.E9.lane2.NoIndex.L002	53.1	13.033	1	4.3	6.12
945.P5.G6.lane2.NoIndex.L002	53.167	13.033	40	3	7.96
1883.2004.217.Crump.Artic.LTREB.main.lane1.NoIndex	68.61035	-149.599766	0.01	12.6	6.9
1883.2009.212.Crump.Artic.LTREB.main.lane2.NoIndex	68.674122	-149.62885	0.01	16.6	8.3
1883.2005.169.Crump.Artic.LTREB.main.lane4.NoIndex	68.61818333	-149.596766	0.01	11.2	6.3
1883.2008.045.Crump.Artic.LTREB.main.lane2.NoIndex	68.49592	-149.60205	0.01	14.3	7.6
755.LAB.IN.30.06.11.lane1.NoIndex.L001	55.873	-4.284	0	14.02	7.6
945.P7.C10.lane2.NoIndex.L002	53.1	13.033	1	8	4.72
1883.2011.098.Crump.Artic.LTREB.main.lane3.NoIndex	68.50508	-149.62767	0.01	18.3	7.1
945.P11.G5.lane3.NoIndex.L003	53.517	12.7	5	4.8	8.42
945.P6.F4.lane2.NoIndex.L002	53.1	13.033	0	19.5	6.61
1883.2008.526.Crump.Artic.LTREB.main.lane3.NoIndex	68.629961	-149.612633	16	5.44	7.5
1883.2004.025.Crump.Artic.LTREB.main.lane1.NoIndex	68.629961	-149.612633	3	1.81	6.9
1883.2001.007.Crump.Artic.LTREB.main.lane1.NoIndex	68.571037	-149.565214	1	5.14	7.6
1883.2001.03.Crump.Artic.LTREB.main.lane1.NoIndex	68.59491667	-149.586316	0.01	9	6.8
755.EF.ALPHA.30.06.11.lane1.NoIndex.L001	55.873	-4.284	0	14.4	7.62
945.P11.C10.lane3.NoIndex.L003	53.517	12.7	2.5	16.9	8.27
945.P9.A9.lane3.NoIndex.L003	53.517	12.7	0.5	19.9	8.24
945.P3.E2.lane2.NoIndex.L002	53.167	13.033	5	9.9	8.25
1883.2009.047.Crump.Artic.LTREB.main.lane3.NoIndex	68.6256	-149.59605	0.01	10.6	6.8
1883.2007.393.Crump.Artic.LTREB.main.lane2.NoIndex	68.60895	-149.579074	0.01	14.2	7.5
1883.2008.216.Crump.Artic.LTREB.main.lane2.NoIndex	68.61818333	-149.596766	0.01	14.7	6.9
1883.2004.124.Crump.Artic.LTREB.main.lane1.NoIndex	68.587573	-149.590297	1	13.6	7
945.P4.G8.lane2.NoIndex.L002	53.167	13.033	40	4.2	7.78
1001.SKM8	33.194	-117.241	0.15	15	6.82
1883.2008.384.Crump.Artic.LTREB.main.lane2.NoIndex	68.59491667	-149.586316	0.01	8.4	6.7
1883.2008.376.Crump.Artic.LTREB.main.lane2.NoIndex	68.578931	-149.579989	1	9.01	7
678.OA.mesocosm.424	50.338	-4.148	0	11	7.33
1883.2008.547.Crump.Artic.LTREB.main.lane3.NoIndex	68.629961	-149.612633	16	5.69	7.4
1883.2007.153.Crump.Artic.LTREB.main.lane2.NoIndex	68.70166667	-149.7433333	0.01	17.4	8.2
945.P12.E9.lane5.NoIndex.L005	53.333	13.467	5	8.1	8.27
