ID	group
678.OA.mesocosm.350	Sediment (saline)
678.OA.mesocosm.351	Sediment (saline)
678.OA.mesocosm.352	Sediment (saline)
678.OA.mesocosm.354	Sediment (saline)
678.OA.mesocosm.355	Sediment (saline)
678.OA.mesocosm.357	Sediment (saline)
678.OA.mesocosm.362	Sediment (saline)
678.OA.mesocosm.363	Sediment (saline)
678.OA.mesocosm.364	Sediment (saline)
678.OA.mesocosm.365	Sediment (saline)
678.OA.mesocosm.366	Sediment (saline)
678.OA.mesocosm.367	Sediment (saline)
678.OA.mesocosm.368	Sediment (saline)
678.OA.mesocosm.369	Sediment (saline)
678.OA.mesocosm.370	Sediment (saline)
678.OA.mesocosm.372	Sediment (saline)
678.OA.mesocosm.373	Sediment (saline)
678.OA.mesocosm.375	Sediment (saline)
678.OA.mesocosm.376	Sediment (saline)
678.OA.mesocosm.378	Sediment (saline)
678.OA.mesocosm.379	Sediment (saline)
678.OA.mesocosm.380	Sediment (saline)
678.OA.mesocosm.381	Sediment (saline)
678.OA.mesocosm.383	Sediment (saline)
678.OA.mesocosm.384	Sediment (saline)
678.OA.mesocosm.386	Sediment (saline)
678.OA.mesocosm.387	Sediment (saline)
678.OA.mesocosm.389	Sediment (saline)
678.OA.mesocosm.391	Sediment (saline)
678.OA.mesocosm.392	Sediment (saline)
678.OA.mesocosm.393	Sediment (saline)
678.OA.mesocosm.394	Sediment (saline)
678.OA.mesocosm.396	Sediment (saline)
678.OA.mesocosm.397	Sediment (saline)
678.OA.mesocosm.398	Sediment (saline)
678.OA.mesocosm.399	Sediment (saline)
678.OA.mesocosm.400	Sediment (saline)
678.OA.mesocosm.401	Sediment (saline)
678.OA.mesocosm.402	Sediment (saline)
678.OA.mesocosm.403	Sediment (saline)
678.OA.mesocosm.404	Sediment (saline)
678.OA.mesocosm.405	Sediment (saline)
678.OA.mesocosm.406	Sediment (saline)
678.OA.mesocosm.408	Sediment (saline)
678.OA.mesocosm.409	Sediment (saline)
678.OA.mesocosm.410	Sediment (saline)
678.OA.mesocosm.411	Sediment (saline)
678.OA.mesocosm.412	Sediment (saline)
678.OA.mesocosm.413	Sediment (saline)
678.OA.mesocosm.414	Sediment (saline)
678.OA.mesocosm.415	Sediment (saline)
678.OA.mesocosm.416	Sediment (saline)
678.OA.mesocosm.417	Sediment (saline)
678.OA.mesocosm.418	Sediment (saline)
678.OA.mesocosm.420	Sediment (saline)
678.OA.mesocosm.421	Sediment (saline)
678.OA.mesocosm.423	Sediment (saline)
678.OA.mesocosm.424	Sediment (saline)
678.OA.mesocosm.426	Sediment (saline)
678.OA.mesocosm.427	Sediment (saline)
678.OA.mesocosm.430	Sediment (saline)
678.OA.mesocosm.431	Sediment (saline)
678.OA.mesocosm.433	Sediment (saline)
678.OA.mesocosm.435	Sediment (saline)
678.OA.mesocosm.436	Sediment (saline)
678.OA.mesocosm.438	Sediment (saline)
678.OA.mesocosm.439	Sediment (saline)
678.OA.mesocosm.442	Sediment (saline)
678.OA.mesocosm.443	Sediment (saline)
678.OA.mesocosm.446	Sediment (saline)
678.OA.mesocosm.451	Sediment (saline)
678.OA.mesocosm.455	Sediment (saline)
678.OA.mesocosm.458	Sediment (saline)
678.OA.mesocosm.467	Sediment (saline)
755.EF.ALPHA.09.06.11.lane1.NoIndex.L001	Soil (non-saline)
755.EF.GAMMA.30.06.11.lane1.NoIndex.L001	Water (non-saline)
755.EF.DELTA.09.06.11.lane1.NoIndex.L001	Water (non-saline)
755.EF.DELTA.02.06.11.lane1.NoIndex.L001	Water (non-saline)
755.EF.DELTA.30.06.11.lane1.NoIndex.L001	Water (non-saline)
755.EF.GAMMA.09.06.11.lane1.NoIndex.L001	Water (non-saline)
755.INA.20.09.11.lane1.NoIndex.L001	Water (non-saline)
755.INB.24.08.11.lane1.NoIndex.L001	Water (non-saline)
755.INA.19.07.11.lane1.NoIndex.L001	Water (non-saline)
755.EFB.26.07.11.lane1.NoIndex.L001	Water (non-saline)
755.EFB.12.07.11.lane1.NoIndex.L001	Water (non-saline)
755.INB.26.07.11.lane1.NoIndex.L001	Water (non-saline)
755.INB.12.07.11.lane1.NoIndex.L001	Water (non-saline)
755.EFA.26.07.11.lane1.NoIndex.L001	Water (non-saline)
755.EFB.19.07.11.lane1.NoIndex.L001	Water (non-saline)
755.EF.ALPHA.30.06.11.lane1.NoIndex.L001	Soil (non-saline)
755.INA.06.07.11.lane1.NoIndex.L001	Water (non-saline)
755.INB.28.06.11.lane1.NoIndex.L001	Water (non-saline)
755.EFA.12.07.11.lane1.NoIndex.L001	Water (non-saline)
755.EFA.28.06.11.lane1.NoIndex.L001	Water (non-saline)
755.INA.12.07.11.lane1.NoIndex.L001	Water (non-saline)
755.INA.28.06.11.lane1.NoIndex.L001	Water (non-saline)
755.EFB.06.07.11.lane1.NoIndex.L001	Water (non-saline)
755.INB.06.07.11.lane1.NoIndex.L001	Water (non-saline)
755.EFB.21.06.11.lane1.NoIndex.L001	Water (non-saline)
755.INB.21.06.11.lane1.NoIndex.L001	Water (non-saline)
755.EFB.14.06.11.lane1.NoIndex.L001	Water (non-saline)
755.INB.14.06.11.lane1.NoIndex.L001	Water (non-saline)
755.EFA.14.06.11.lane1.NoIndex.L001	Water (non-saline)
