ID	group
1035.UQ405	"[-80,-70)"
1035.UQ302	"[-80,-70)"
894.C1514.lane5.NoIndex.L005	"[-40,-30)"
894.C1481.lane5.NoIndex.L005	"[-40,-30)"
894.C1516.lane5.NoIndex.L005	"[-40,-30)"
894.C1524.lane5.NoIndex.L005	"[-40,-30)"
894.C1487.lane5.NoIndex.L005	"[-40,-30)"
894.C1504.lane5.NoIndex.L005	"[-40,-30)"
894.C1483.lane5.NoIndex.L005	"[-40,-30)"
894.C1494.lane5.NoIndex.L005	"[-40,-30)"
894.C1482.lane5.NoIndex.L005	"[-40,-30)"
894.C1512.lane5.NoIndex.L005	"[-40,-30)"
894.C1477.lane5.NoIndex.L005	"[-40,-30)"
894.C1489.lane5.NoIndex.L005	"[-40,-30)"
894.C1506.lane5.NoIndex.L005	"[-40,-30)"
894.C1509.lane5.NoIndex.L005	"[-40,-30)"
894.C1502.lane5.NoIndex.L005	"[-40,-30)"
894.C1484.lane5.NoIndex.L005	"[-40,-30)"
894.C1486.lane5.NoIndex.L005	"[-40,-30)"
894.C1518.lane5.NoIndex.L005	"[-40,-30)"
894.C1471.lane5.NoIndex.L005	"[-40,-30)"
894.C1488.lane5.NoIndex.L005	"[-40,-30)"
894.C1497.lane5.NoIndex.L005	"[-40,-30)"
894.C1475.lane5.NoIndex.L005	"[-40,-30)"
894.C1473.lane5.NoIndex.L005	"[-40,-30)"
894.C1478.lane5.NoIndex.L005	"[-40,-30)"
894.C1492.lane5.NoIndex.L005	"[-40,-30)"
894.C1485.lane5.NoIndex.L005	"[-40,-30)"
894.C1521.lane5.NoIndex.L005	"[-40,-30)"
894.C1470.lane5.NoIndex.L005	"[-40,-30)"
894.C1500.lane5.NoIndex.L005	"[-40,-30)"
894.C1476.lane5.NoIndex.L005	"[-40,-30)"
894.C1490.lane5.NoIndex.L005	"[-40,-30)"
894.C1517.lane5.NoIndex.L005	"[-40,-30)"
894.C1525.lane5.NoIndex.L005	"[-40,-30)"
894.C1515.lane5.NoIndex.L005	"[-40,-30)"
894.C1519.lane5.NoIndex.L005	"[-40,-30)"
894.C1491.lane5.NoIndex.L005	"[-40,-30)"
894.C1511.lane5.NoIndex.L005	"[-40,-30)"
894.C1510.lane5.NoIndex.L005	"[-40,-30)"
894.C1499.lane5.NoIndex.L005	"[-40,-30)"
894.C1523.lane5.NoIndex.L005	"[-40,-30)"
894.C1495.lane5.NoIndex.L005	"[-40,-30)"
894.C1507.lane5.NoIndex.L005	"[-40,-30)"
894.C1501.lane5.NoIndex.L005	"[-40,-30)"
894.C1480.lane5.NoIndex.L005	"[-40,-30)"
894.C1503.lane5.NoIndex.L005	"[-40,-30)"
894.C1474.lane5.NoIndex.L005	"[-40,-30)"
894.C1505.lane5.NoIndex.L005	"[-40,-30)"
894.C1513.lane5.NoIndex.L005	"[-40,-30)"
894.C1522.lane5.NoIndex.L005	"[-40,-30)"
894.C1493.lane5.NoIndex.L005	"[-40,-30)"
894.C1508.lane5.NoIndex.L005	"[-40,-30)"
894.C1472.lane5.NoIndex.L005	"[-40,-30)"
894.C1479.lane5.NoIndex.L005	"[-40,-30)"
894.W524.lane3.NoIndex.L003	"[-40,-30)"
894.SV1321.lane5.NoIndex.L005	"[-40,-30)"
894.SV2002.lane2.NoIndex.L002	"[-40,-30)"
894.SV1315.lane5.NoIndex.L005	"[-40,-30)"
894.SV1757.lane5.NoIndex.L005	"[-40,-30)"
894.SV1396.lane5.NoIndex.L005	"[-40,-30)"
894.SV1751.lane5.NoIndex.L005	"[-40,-30)"
894.SV1412.lane5.NoIndex.L005	"[-40,-30)"
894.SV1324.lane5.NoIndex.L005	"[-40,-30)"
894.SV1733.lane5.NoIndex.L005	"[-40,-30)"
894.SV1318.lane5.NoIndex.L005	"[-40,-30)"
894.SV1538.lane5.NoIndex.L005	"[-40,-30)"
894.SV1284.lane5.NoIndex.L005	"[-40,-30)"
894.SV1401.lane5.NoIndex.L005	"[-40,-30)"
894.SV1765.lane5.NoIndex.L005	"[-40,-30)"
894.SV1758.lane5.NoIndex.L005	"[-40,-30)"
894.SV1766.lane5.NoIndex.L005	"[-40,-30)"
894.SV1293.lane5.NoIndex.L005	"[-40,-30)"
894.SV1269.lane5.NoIndex.L005	"[-40,-30)"
894.SV1418.lane5.NoIndex.L005	"[-40,-30)"
894.SV1394.lane5.NoIndex.L005	"[-40,-30)"
894.SV1388.lane5.NoIndex.L005	"[-40,-30)"
894.SV1387.lane5.NoIndex.L005	"[-40,-30)"
894.SV1314.lane5.NoIndex.L005	"[-40,-30)"
894.SV1749.lane5.NoIndex.L005	"[-40,-30)"
894.SV1550.lane5.NoIndex.L005	"[-40,-30)"
894.SV1732.lane5.NoIndex.L005	"[-40,-30)"
894.SV1541.lane5.NoIndex.L005	"[-40,-30)"
894.SV1760.lane5.NoIndex.L005	"[-40,-30)"
894.SV1311.lane5.NoIndex.L005	"[-40,-30)"
894.SV1305.lane5.NoIndex.L005	"[-40,-30)"
894.SV2010.lane2.NoIndex.L002	"[-40,-30)"
894.SV1308.lane5.NoIndex.L005	"[-40,-30)"
894.SV1744.lane5.NoIndex.L005	"[-40,-30)"
894.SV1545.lane5.NoIndex.L005	"[-40,-30)"
894.SV1774.lane5.NoIndex.L005	"[-40,-30)"
894.SV1549.lane5.NoIndex.L005	"[-40,-30)"
894.SV1307.lane5.NoIndex.L005	"[-40,-30)"
894.SV1736.lane5.NoIndex.L005	"[-40,-30)"
894.SV1320.lane5.NoIndex.L005	"[-40,-30)"
894.SV1287.lane5.NoIndex.L005	"[-40,-30)"
894.SV1302.lane5.NoIndex.L005	"[-40,-30)"
894.SV1397.lane5.NoIndex.L005	"[-40,-30)"
894.SV1391.lane5.NoIndex.L005	"[-40,-30)"
894.SV1997.lane2.NoIndex.L002	"[-40,-30)"
894.SV1761.lane5.NoIndex.L005	"[-40,-30)"
894.SV1773.lane5.NoIndex.L005	"[-40,-30)"
894.SV1719.lane5.NoIndex.L005	"[-40,-30)"
894.SV1278.lane5.NoIndex.L005	"[-40,-30)"
894.SV1988.lane2.NoIndex.L002	"[-40,-30)"
894.SV1987.lane2.NoIndex.L002	"[-40,-30)"
894.SV1540.lane5.NoIndex.L005	"[-40,-30)"
894.SV1546.lane5.NoIndex.L005	"[-40,-30)"
894.SV1298.lane5.NoIndex.L005	"[-40,-30)"
894.SV1528.lane5.NoIndex.L005	"[-40,-30)"
894.SV1739.lane5.NoIndex.L005	"[-40,-30)"
894.SV1422.lane5.NoIndex.L005	"[-40,-30)"
894.SV1415.lane5.NoIndex.L005	"[-40,-30)"
894.SV1753.lane5.NoIndex.L005	"[-40,-30)"
894.SV1419.lane5.NoIndex.L005	"[-40,-30)"
894.SV1743.lane5.NoIndex.L005	"[-40,-30)"
894.SV1740.lane5.NoIndex.L005	"[-40,-30)"
894.SV1399.lane5.NoIndex.L005	"[-40,-30)"
894.SV1398.lane5.NoIndex.L005	"[-40,-30)"
894.SV1325.lane5.NoIndex.L005	"[-40,-30)"
894.SV1292.lane5.NoIndex.L005	"[-40,-30)"
894.SV1548.lane5.NoIndex.L005	"[-40,-30)"
894.SV1294.lane5.NoIndex.L005	"[-40,-30)"
894.SV1288.lane5.NoIndex.L005	"[-40,-30)"
894.SV1406.lane5.NoIndex.L005	"[-40,-30)"
894.SV1421.lane5.NoIndex.L005	"[-40,-30)"
894.SV1389.lane5.NoIndex.L005	"[-40,-30)"
894.SV1282.lane5.NoIndex.L005	"[-40,-30)"
894.SV1746.lane5.NoIndex.L005	"[-40,-30)"
894.SV1527.lane5.NoIndex.L005	"[-40,-30)"
894.SV1535.lane5.NoIndex.L005	"[-40,-30)"
894.SV1768.lane5.NoIndex.L005	"[-40,-30)"
894.SV1544.lane5.NoIndex.L005	"[-40,-30)"
894.SV1730.lane5.NoIndex.L005	"[-40,-30)"
894.SV1767.lane5.NoIndex.L005	"[-40,-30)"
894.SV1531.lane5.NoIndex.L005	"[-40,-30)"
894.SV1755.lane5.NoIndex.L005	"[-40,-30)"
894.SV1754.lane5.NoIndex.L005	"[-40,-30)"
894.SV1273.lane5.NoIndex.L005	"[-40,-30)"
894.SV1542.lane5.NoIndex.L005	"[-40,-30)"
894.SV1306.lane5.NoIndex.L005	"[-40,-30)"
894.SV1400.lane5.NoIndex.L005	"[-40,-30)"
894.SV1416.lane5.NoIndex.L005	"[-40,-30)"
894.SV2001.lane2.NoIndex.L002	"[-40,-30)"
894.SV1386.lane5.NoIndex.L005	"[-40,-30)"
894.SV1423.lane5.NoIndex.L005	"[-40,-30)"
894.SV1313.lane5.NoIndex.L005	"[-40,-30)"
894.SV1543.lane5.NoIndex.L005	"[-40,-30)"
894.SV1276.lane5.NoIndex.L005	"[-40,-30)"
894.SV1992.lane2.NoIndex.L002	"[-40,-30)"
894.SV2012.lane2.NoIndex.L002	"[-40,-30)"
894.SV1393.lane5.NoIndex.L005	"[-40,-30)"
894.SV1425.lane5.NoIndex.L005	"[-40,-30)"
894.SV1280.lane5.NoIndex.L005	"[-40,-30)"
894.SV1303.lane5.NoIndex.L005	"[-40,-30)"
894.SV2011.lane2.NoIndex.L002	"[-40,-30)"
894.SV1285.lane5.NoIndex.L005	"[-40,-30)"
894.SV1759.lane5.NoIndex.L005	"[-40,-30)"
894.SV1995.lane2.NoIndex.L002	"[-40,-30)"
894.SV1999.lane2.NoIndex.L002	"[-40,-30)"
894.SV1270.lane5.NoIndex.L005	"[-40,-30)"
894.SV2009.lane2.NoIndex.L002	"[-40,-30)"
894.SV1539.lane5.NoIndex.L005	"[-40,-30)"
894.SV1772.lane5.NoIndex.L005	"[-40,-30)"
894.SV1737.lane5.NoIndex.L005	"[-40,-30)"
894.SV1764.lane5.NoIndex.L005	"[-40,-30)"
894.SV1413.lane5.NoIndex.L005	"[-40,-30)"
894.SV1725.lane5.NoIndex.L005	"[-40,-30)"
894.SV1424.lane5.NoIndex.L005	"[-40,-30)"
894.SV1551.lane5.NoIndex.L005	"[-40,-30)"
894.SV1289.lane5.NoIndex.L005	"[-40,-30)"
894.SV1281.lane5.NoIndex.L005	"[-40,-30)"
894.SV1741.lane5.NoIndex.L005	"[-40,-30)"
894.SV1319.lane5.NoIndex.L005	"[-40,-30)"
894.SV1723.lane5.NoIndex.L005	"[-40,-30)"
894.SV1735.lane5.NoIndex.L005	"[-40,-30)"
894.SV1994.lane2.NoIndex.L002	"[-40,-30)"
894.SV1395.lane5.NoIndex.L005	"[-40,-30)"
894.SV1411.lane5.NoIndex.L005	"[-40,-30)"
894.SV1729.lane5.NoIndex.L005	"[-40,-30)"
894.SV1301.lane5.NoIndex.L005	"[-40,-30)"
894.SV1317.lane5.NoIndex.L005	"[-40,-30)"
894.SV1750.lane5.NoIndex.L005	"[-40,-30)"
894.SV1283.lane5.NoIndex.L005	"[-40,-30)"
894.SV2003.lane2.NoIndex.L002	"[-40,-30)"
894.SV1775.lane5.NoIndex.L005	"[-40,-30)"
894.SV1403.lane5.NoIndex.L005	"[-40,-30)"
