ID	group
638.ELB15.111810.1	"[-80,-60)"
638.ELB15.111810.2	"[-80,-60)"
638.ELB18.111810.1	"[-80,-60)"
638.ELB18.111810.2	"[-80,-60)"
638.ELB6.111810.1	"[-80,-60)"
638.ELB6.111810.2	"[-80,-60)"
638.RMK.ENR.1.1	"[-80,-60)"
638.RMK.ENR.13.1	"[-80,-60)"
638.RMK.ENR.13.2	"[-80,-60)"
638.RMK.ENR.14.1	"[-80,-60)"
638.RMK.ENR.14.2	"[-80,-60)"
638.RMK.ENR.19.1	"[-80,-60)"
638.RMK.ENR.19.2	"[-80,-60)"
638.RMK.ENR.2.1	"[-80,-60)"
638.RMK.ENR.20.1	"[-80,-60)"
638.RMK.ENR.20.2	"[-80,-60)"
638.RMK.ENR.21.1	"[-80,-60)"
638.RMK.ENR.21.2	"[-80,-60)"
638.RMK.ENR.22.1	"[-80,-60)"
638.RMK.ENR.22.2	"[-80,-60)"
638.RMK.ENR.23.1	"[-80,-60)"
638.RMK.ENR.23.2	"[-80,-60)"
638.RMK.ENR.24.1	"[-80,-60)"
638.RMK.ENR.24.2	"[-80,-60)"
638.RMK.ENR.3.1	"[-80,-60)"
638.RMK.ENR.30.1	"[-80,-60)"
638.RMK.ENR.30.2	"[-80,-60)"
638.RMK.ENR.31.1	"[-80,-60)"
638.RMK.ENR.31.2	"[-80,-60)"
638.RMK.ENR.32.1	"[-80,-60)"
638.RMK.ENR.32.2	"[-80,-60)"
638.RMK.ENR.33.1	"[-80,-60)"
638.RMK.ENR.33.2	"[-80,-60)"
638.RMK.ENR.4.1	"[-80,-60)"
638.RMK.ENR.4.2	"[-80,-60)"
638.RMK.ENR.5.1	"[-80,-60)"
638.RMK.ENR.5.2	"[-80,-60)"
638.RMK.ENR.6.1	"[-80,-60)"
638.RMK.ENR.6.2	"[-80,-60)"
638.FRX6.120710.1	"[-80,-60)"
638.FRX6.120710.2	"[-80,-60)"
638.FRX7.120710.1	"[-80,-60)"
638.FRX7.120710.2	"[-80,-60)"
638.FRX7.120910.2	"[-80,-60)"
638.FRX9.120710.1	"[-80,-60)"
638.RMK.ENR.10.1	"[-80,-60)"
638.RMK.ENR.10.2	"[-80,-60)"
638.RMK.ENR.11.1	"[-80,-60)"
638.RMK.ENR.11.2	"[-80,-60)"
638.RMK.ENR.12.1	"[-80,-60)"
638.RMK.ENR.12.2	"[-80,-60)"
638.RMK.ENR.27.1	"[-80,-60)"
638.RMK.ENR.27.2	"[-80,-60)"
638.RMK.ENR.28.1	"[-80,-60)"
638.RMK.ENR.28.2	"[-80,-60)"
638.RMK.ENR.29.1	"[-80,-60)"
638.RMK.ENR.29.2	"[-80,-60)"
638.RMK.ENR.35.1	"[-80,-60)"
638.RMK.ENR.35.2	"[-80,-60)"
638.RMK.ENR.36.1	"[-80,-60)"
638.RMK.ENR.36.2	"[-80,-60)"
638.RMK.ENR.15.1	"[-80,-60)"
638.RMK.ENR.15.2	"[-80,-60)"
638.RMK.ENR.16.1	"[-80,-60)"
638.RMK.ENR.16.2	"[-80,-60)"
638.RMK.ENR.17.1	"[-80,-60)"
638.RMK.ENR.17.2	"[-80,-60)"
638.RMK.ENR.18.1	"[-80,-60)"
638.RMK.ENR.18.2	"[-80,-60)"
638.RMK.ENR.25.1	"[-80,-60)"
638.RMK.ENR.25.2	"[-80,-60)"
638.RMK.ENR.26.1	"[-80,-60)"
638.RMK.ENR.26.2	"[-80,-60)"
638.RMK.ENR.34.1	"[-80,-60)"
638.RMK.ENR.34.2	"[-80,-60)"
638.RMK.ENR.7.1	"[-80,-60)"
638.RMK.ENR.7.2	"[-80,-60)"
638.RMK.ENR.8.1	"[-80,-60)"
638.RMK.ENR.8.2	"[-80,-60)"
638.RMK.ENR.9.1	"[-80,-60)"
638.RMK.ENR.9.2	"[-80,-60)"
638.VAN20.120210.1	"[-80,-60)"
638.VAN20.120210.2	"[-80,-60)"
638.VAN35.120210.1	"[-80,-60)"
638.VAN35.120210.2	"[-80,-60)"
638.VAN45.120210.1	"[-80,-60)"
638.VAN45.120210.2	"[-80,-60)"
638.VAN65.120210.1	"[-80,-60)"
638.VAN65.120210.2	"[-80,-60)"
1039.L.Jacarepia.HB	"[-40,-20)"
1039.P.Dois.Rios.SA	"[-40,-20)"
861.H4.mar09	"[20,30)"
861.H4.jul09	"[20,30)"
861.C4.mar09	"[20,30)"
861.C4.jul09	"[20,30)"
861.X10.jul09	"[20,30)"
861.X10.mar09	"[20,30)"
861.U10.jul09	"[20,30)"
1642.MS00330	"[30,40)"
1642.MS00329	"[30,40)"
1642.MS00328	"[30,40)"
1642.MS00327	"[30,40)"
1642.MS00326	"[30,40)"
1642.MS00325	"[30,40)"
1642.MS00324	"[30,40)"
1642.MS00323	"[30,40)"
1642.MS00322	"[30,40)"
1642.MS00321	"[30,40)"
1288.CB01July05.McMahon.Pool.3.and.1percentPhiX.110310.HWUSI.EAS552R.0357.s.3.1.sequence	"[30,40)"
1288.CB02Aug05.McMahon.Pool.3.and.1percentPhiX.110310.HWUSI.EAS552R.0357.s.3.1.sequence	"[30,40)"
1288.CB03June05.McMahon.Pool.3.and.1percentPhiX.110310.HWUSI.EAS552R.0357.s.3.1.sequence	"[30,40)"
1288.CB05Aug05.McMahon.Pool.3.and.1percentPhiX.110310.HWUSI.EAS552R.0357.s.3.1.sequence	"[30,40)"
1288.CB05July05.McMahon.Pool.3.and.1percentPhiX.110310.HWUSI.EAS552R.0357.s.3.1.sequence	"[30,40)"
1288.CB07June05.McMahon.Pool.3.and.1percentPhiX.110310.HWUSI.EAS552R.0357.s.3.1.sequence	"[30,40)"
1288.CB08July05.McMahon.Pool.3.and.1percentPhiX.110310.HWUSI.EAS552R.0357.s.3.1.sequence	"[30,40)"
1288.CB10Aug05.McMahon.Pool.3.and.1percentPhiX.110310.HWUSI.EAS552R.0357.s.3.1.sequence	"[30,40)"
1288.CB10June05.McMahon.Pool.3.and.1percentPhiX.110310.HWUSI.EAS552R.0357.s.3.1.sequence	"[30,40)"
1288.CB12July05.McMahon.Pool.3.and.1percentPhiX.110310.HWUSI.EAS552R.0357.s.3.1.sequence	"[30,40)"
1288.CB12June05.McMahon.Pool.3.and.1percentPhiX.110310.HWUSI.EAS552R.0357.s.3.1.sequence	"[30,40)"
1288.CB14July05.McMahon.Pool.3.and.1percentPhiX.110310.HWUSI.EAS552R.0357.s.3.1.sequence	"[30,40)"
1288.CB14June05.McMahon.Pool.3.and.1percentPhiX.110310.HWUSI.EAS552R.0357.s.3.1.sequence	"[30,40)"
1288.CB17June05.McMahon.Pool.3.and.1percentPhiX.110310.HWUSI.EAS552R.0357.s.3.1.sequence	"[30,40)"
1288.CB19July05.McMahon.Pool.3.and.1percentPhiX.110310.HWUSI.EAS552R.0357.s.3.1.sequence	"[30,40)"
1288.CB21June05.McMahon.Pool.3.and.1percentPhiX.110310.HWUSI.EAS552R.0357.s.3.1.sequence	"[30,40)"
1288.CB24June05.McMahon.Pool.3.and.1percentPhiX.110310.HWUSI.EAS552R.0357.s.3.1.sequence	"[30,40)"
1288.CB24May05.McMahon.Pool.3.and.1percentPhiX.110310.HWUSI.EAS552R.0357.s.3.1.sequence	"[30,40)"
1288.CB27May05.McMahon.Pool.3.and.1percentPhiX.110310.HWUSI.EAS552R.0357.s.3.1.sequence	"[30,40)"
1288.CB28July05.McMahon.Pool.3.and.1percentPhiX.110310.HWUSI.EAS552R.0357.s.3.1.sequence	"[30,40)"
1288.CB28June05.McMahon.Pool.3.and.1percentPhiX.110310.HWUSI.EAS552R.0357.s.3.1.sequence	"[30,40)"
1288.CB30Aug05.McMahon.Pool.3.and.1percentPhiX.110310.HWUSI.EAS552R.0357.s.3.1.sequence	"[30,40)"
1288.CB31May05.McMahon.Pool.3.and.1percentPhiX.110310.HWUSI.EAS552R.0357.s.3.1.sequence	"[30,40)"
1288.CBE01Oct07.McMahon.Pool.1.and.1percentPhiX.110310.HWUSI.EAS552R.0357.s.1.1.sequence	"[30,40)"
1288.CBE01Oct07.McMahon.Pool.1.and.1percentPhiX.110310.HWUSI.EAS552R.0357.s.7.1.sequence	"[30,40)"
1288.CBE02Aug07.McMahon.Pool.1.and.1percentPhiX.110310.HWUSI.EAS552R.0357.s.1.1.sequence	"[30,40)"
1288.CBE02Aug07.McMahon.Pool.1.and.1percentPhiX.110310.HWUSI.EAS552R.0357.s.7.1.sequence	"[30,40)"
1288.CBE02Aug09.McMahon.Pool.4.and.1percentPhiX.110310.HWUSI.EAS552R.0357.s.4.1.sequence	"[30,40)"
1288.CBE02July07.McMahon.Pool.1.and.1percentPhiX.110310.HWUSI.EAS552R.0357.s.1.1.sequence	"[30,40)"
1288.CBE02July07.McMahon.Pool.1.and.1percentPhiX.110310.HWUSI.EAS552R.0357.s.7.1.sequence	"[30,40)"
1288.CBE03June09.McMahon.Pool.4.and.1percentPhiX.110310.HWUSI.EAS552R.0357.s.4.1.sequence	"[30,40)"
1288.CBE05July07.McMahon.Pool.1.and.1percentPhiX.110310.HWUSI.EAS552R.0357.s.1.1.sequence	"[30,40)"
1288.CBE05July07.McMahon.Pool.1.and.1percentPhiX.110310.HWUSI.EAS552R.0357.s.7.1.sequence	"[30,40)"
1288.CBE06Aug07.McMahon.Pool.1.and.1percentPhiX.110310.HWUSI.EAS552R.0357.s.1.1.sequence	"[30,40)"
1288.CBE06Nov07.McMahon.Pool.1.and.1percentPhiX.110310.HWUSI.EAS552R.0357.s.1.1.sequence	"[30,40)"
1288.CBE06Nov07.McMahon.Pool.1.and.1percentPhiX.110310.HWUSI.EAS552R.0357.s.7.1.sequence	"[30,40)"
1288.CBE07July09.McMahon.Pool.4.and.1percentPhiX.110310.HWUSI.EAS552R.0357.s.4.1.sequence	"[30,40)"
1288.CBE08June09.McMahon.Pool.4.and.1percentPhiX.110310.HWUSI.EAS552R.0357.s.4.1.sequence	"[30,40)"
1288.CBE09Aug07.McMahon.Pool.1.and.1percentPhiX.110310.HWUSI.EAS552R.0357.s.1.1.sequence	"[30,40)"
1288.CBE09Aug07.McMahon.Pool.1.and.1percentPhiX.110310.HWUSI.EAS552R.0357.s.7.1.sequence	"[30,40)"
1288.CBE10July07.McMahon.Pool.1.and.1percentPhiX.110310.HWUSI.EAS552R.0357.s.1.1.sequence	"[30,40)"
