ID	group
1035.UQ11117.0.8	"[-80,-70)"
1035.UQ11020	"[-80,-70)"
1035.UQ11111.2.9	"[-80,-70)"
1035.UQ11007	"[-80,-70)"
1035.UQ11010	"[-80,-70)"
1035.UQ11017	"[-80,-70)"
1035.UQ11015	"[-80,-70)"
1035.UQ11127	"[-80,-70)"
1035.UQ11108.1.6	"[-80,-70)"
1035.UQ11012	"[-80,-70)"
1035.UQ631	"[-80,-70)"
1035.UQ888	"[-80,-70)"
1035.UQ626	"[-80,-70)"
1035.UQ632	"[-80,-70)"
1035.UQ886	"[-80,-70)"
1035.UQ11125	"[-80,-70)"
1035.UQ11126.0.3	"[-80,-70)"
1035.UQ609	"[-80,-70)"
1035.UQ11123.1.4	"[-80,-70)"
1035.UQ599	"[-80,-70)"
1035.UQ592	"[-80,-70)"
1035.UQ586	"[-80,-70)"
1035.UQ578	"[-80,-70)"
1035.UQ585	"[-80,-70)"
1035.UQ562	"[-80,-70)"
1035.UQ556	"[-80,-70)"
1035.UQ517	"[-80,-70)"
1035.UQ523	"[-80,-70)"
1035.UQ496	"[-80,-70)"
1035.UQ514	"[-80,-70)"
1035.UQ521	"[-80,-70)"
1035.UQ510	"[-80,-70)"
1035.UQ879	"[-80,-70)"
1035.UQ871	"[-80,-70)"
1035.UQ878	"[-80,-70)"
1035.UQ491	"[-80,-70)"
1035.UQ873	"[-80,-70)"
1035.UQ872	"[-80,-70)"
1035.UQ461	"[-80,-70)"
1035.UQ865	"[-80,-70)"
1035.UQ866	"[-80,-70)"
1035.UQ863	"[-80,-70)"
1035.UQ867	"[-80,-70)"
1035.UQ870	"[-80,-70)"
1035.UQ864	"[-80,-70)"
1035.UQ862	"[-80,-70)"
1035.UQ422	"[-80,-70)"
1035.UQ857	"[-80,-70)"
1035.UQ858	"[-80,-70)"
1035.UQ861	"[-80,-70)"
1035.UQ409	"[-80,-70)"
1035.UQ423	"[-80,-70)"
1035.UQ852	"[-80,-70)"
1035.UQ856	"[-80,-70)"
1035.UQ855	"[-80,-70)"
1035.UQ415	"[-80,-70)"
1035.UQ382	"[-80,-70)"
1035.UQ392	"[-80,-70)"
1035.UQ356	"[-80,-70)"
1035.UQ361	"[-80,-70)"
1035.UQ351	"[-80,-70)"
1035.UQ362	"[-80,-70)"
1035.UQ377	"[-80,-70)"
1035.UQ311	"[-80,-70)"
1035.UQ322	"[-80,-70)"
1035.UQ330	"[-80,-70)"
1035.UQ373	"[-80,-70)"
1035.UQ291	"[-80,-70)"
1035.UQ299	"[-80,-70)"
1035.UQ842	"[-80,-70)"
1035.UQ845	"[-80,-70)"
1035.UQ298	"[-80,-70)"
1035.UQ841	"[-80,-70)"
1035.UQ288	"[-80,-70)"
1035.UQ301	"[-80,-70)"
1035.UQ843	"[-80,-70)"
1035.UQ271	"[-80,-70)"
1035.UQ279	"[-80,-70)"
1035.UQ272	"[-80,-70)"
1035.UQ269	"[-80,-70)"
1035.UQ829	"[-80,-70)"
1035.UQ223	"[-80,-70)"
1035.UQ262	"[-80,-70)"
1035.UQ832	"[-80,-70)"
1035.UQ833	"[-80,-70)"
1035.UQ892	"[-80,-70)"
1035.UQ234	"[-80,-70)"
1035.UQ246	"[-80,-70)"
1035.UQ249	"[-80,-70)"
1035.UQ184	"[-80,-70)"
1035.UQ203	"[-80,-70)"
1035.UQ215	"[-80,-70)"
1035.UQ205	"[-80,-70)"
1035.UQ825	"[-80,-70)"
1035.UQ173	"[-80,-70)"
1035.UQ818	"[-80,-70)"
1035.UQ168	"[-80,-70)"
1035.UQ171	"[-80,-70)"
1035.UQ804	"[-80,-70)"
1035.UQ817	"[-80,-70)"
1035.UQ807	"[-80,-70)"
1035.UQ801	"[-80,-70)"
1035.UQ134	"[-80,-70)"
1035.UQ802	"[-80,-70)"
1035.UQ100	"[-80,-70)"
1035.UQ085	"[-80,-70)"
1035.UQ089	"[-80,-70)"
1521.EB017.M.s.6.1.sequences	"[-80,-70)"
1035.UQ040	"[-80,-70)"
1035.UQ013	"[-80,-70)"
1035.UQ014	"[-80,-70)"
1035.UQ001	"[-80,-70)"
1521.EB026.s.6.1.sequences	"[-80,-70)"
1521.EB019.M.s.6.1.sequences	"[-80,-70)"
1521.EB022.s.6.1.sequences	"[-80,-70)"
1521.EB023.s.6.1.sequences	"[-80,-70)"
1521.EB020.M.s.6.1.sequences	"[-80,-70)"
1521.EB020.s.6.1.sequences	"[-80,-70)"
1521.EB025.s.6.1.sequences	"[-80,-70)"
1521.EB024.s.6.1.sequences	"[-80,-70)"
1521.EB021.M.s.6.1.sequences	"[-80,-70)"
1521.EB021.s.6.1.sequences	"[-80,-70)"
