ID	group
638.RMK.ENR.34.2	"[0,1)"
2192.H05b.Front.Door.Knob.2597.lane5.NoIndex.L005	"[0,1)"
2192.H05b.Front.Door.Knob.2717.lane5.NoIndex.L005	"[0,1)"
638.RMK.ENR.31.1	"[0,1)"
945.P6.C7.lane2.NoIndex.L002	"[0,1)"
945.P6.D4.lane2.NoIndex.L002	"[0,1)"
2192.H01a.Bathroom.Door.Knob.270.lane2.NoIndex.L002	"[0,1)"
2192.H07b.Front.Door.Knob.4133.lane6.NoIndex.L006	"[0,1)"
2192.H05b.Front.Door.Knob.2837.lane1.NoIndex.L001	"[0,1)"
945.P4.F10.lane2.NoIndex.L002	"[0,1)"
945.P8.A4.lane2.NoIndex.L002	"[0,1)"
945.P6.H12.lane2.NoIndex.L002	"[0,1)"
2192.H02a.Bathroom.Door.Knob.678.lane2.NoIndex.L002	"[0,1)"
2192.H01a.Bathroom.Door.Knob.126.lane1.NoIndex.L001	"[0,1)"
638.RMK.ENR.32.1	"[0,1)"
638.RMK.ENR.30.2	"[0,1)"
945.P4.E10.lane2.NoIndex.L002	"[0,1)"
638.RMK.ENR.35.1	"[0,1)"
2192.H06b.Kitchen.Floor.3338.lane5.NoIndex.L005	"[0,1)"
2192.H07b.Front.Door.Knob.3965.lane2.NoIndex.L002	"[0,1)"
2192.H01a.Bathroom.Door.Knob.198.lane2.NoIndex.L002	"[0,1)"
1721.S14T	"[0,1)"
2192.H07a.Front.Door.Knob.3677.lane2.NoIndex.L002	"[0,1)"
2192.H06b.Kitchen.Light.Switch.3099.lane1.NoIndex.L001	"[0,1)"
945.P6.B1.lane2.NoIndex.L002	"[0,1)"
2192.H02a.Kitchen.Light.Switch.867.lane2.NoIndex.L002	"[0,1)"
2192.H06a.Bedroom.Floor.3028.lane1.NoIndex.L001	"[1,2)"
638.RMK.ENR.30.1	"[1,2)"
945.P7.B1.lane2.NoIndex.L002	"[1,2)"
2192.H07a.Kitchen.Floor.3626.lane5.NoIndex.L005	"[1,2)"
2192.H02a.Kitchen.Light.Switch.675.lane2.NoIndex.L002	"[1,2)"
1288.FBH31July07.McMahon.Pool.1.and.1percentPhiX.110310.HWUSI.EAS552R.0357.s.7.1.sequence	"[1,2)"
945.P4.C4.lane2.NoIndex.L002	"[1,2)"
2192.H06a.Front.Door.Knob.3029.lane1.NoIndex.L001	"[1,2)"
1721.B29M	"[1,2)"
1721.B3B	"[1,2)"
945.P12.H1.lane3.NoIndex.L003	"[1,2)"
638.RMK.ENR.31.2	"[1,2)"
1288.FBH31July07.McMahon.Pool.1.and.1percentPhiX.110310.HWUSI.EAS552R.0357.s.1.1.sequence	"[1,2)"
1883.2007.461.Crump.Artic.LTREB.main.lane2.NoIndex	"[1,2)"
2192.H05b.Front.Door.Knob.2957.lane1.NoIndex.L001	"[1,2)"
945.P8.G12.lane2.NoIndex.L002	"[1,2)"
2192.H02a.Kitchen.Light.Switch.747.lane2.NoIndex.L002	"[1,2)"
638.RMK.ENR.35.2	"[1,2)"
2192.H05b.Kitchen.Floor.2738.lane5.NoIndex.L005	"[1,2)"
2192.H07b.Kitchen.Floor.3842.lane2.NoIndex.L002	"[1,2)"
2192.H01a.Kitchen.Light.Switch.51.lane1.NoIndex.L001	"[1,2)"
2192.H02a.Kitchen.Light.Switch.603.lane2.NoIndex.L002	"[1,2)"
2192.H06b.Kitchen.Floor.3146.lane5.NoIndex.L005	"[1,2)"
638.RMK.ENR.32.2	"[1,2)"
2192.H05b.Kitchen.Floor.2786.lane6.NoIndex.L006	"[1,2)"
1721.S25B	"[1,2)"
2192.H06b.Front.Door.Knob.3317.lane5.NoIndex.L005	"[1,2)"
2192.H01a.Kitchen.Light.Switch.195.lane2.NoIndex.L002	"[1,2)"
2192.H06b.Front.Door.Knob.3197.lane2.NoIndex.L002	"[1,2)"
2192.H01a.Kitchen.Light.Switch.267.lane2.NoIndex.L002	"[1,2)"
1521.F2.s.8.1.sequences	"[1,2)"
1521.F1.s.8.1.sequences	"[1,2)"
1883.2007.449.Crump.Artic.LTREB.main.lane2.NoIndex	"[1,2)"
2192.H01a.Kitchen.Light.Switch.123.lane1.NoIndex.L001	"[1,2)"
2192.H07b.Bathroom.Door.Knob.3966.lane2.NoIndex.L002	"[1,2)"
1721.S26T	"[1,2)"
2192.H06b.Kitchen.Floor.3266.lane2.NoIndex.L002	"[1,2)"
2192.H06b.Front.Door.Knob.3221.lane2.NoIndex.L002	"[1,2)"
2192.H02a.Kitchen.Light.Switch.843.lane2.NoIndex.L002	"[1,2)"
2192.H02a.Bathroom.Door.Knob.654.lane2.NoIndex.L002	"[1,2)"
1721.B27T	"[1,2)"
2192.H02a.Bathroom.Door.Knob.918.lane2.NoIndex.L002	"[1,2)"
638.RMK.ENR.16.2	"[1,2)"
2192.H02a.Kitchen.Light.Switch.795.lane2.NoIndex.L002	"[1,2)"
945.P8.A7.lane2.NoIndex.L002	"[1,2)"
2192.H05b.Kitchen.Floor.2930.lane1.NoIndex.L001	"[1,2)"
755.EFB.07.06.11.lane1.NoIndex.L001	"[1,2)"
945.P4.H9.lane2.NoIndex.L002	"[1,2)"
2192.H03a.Kitchen.Light.Switch.1203.lane2.NoIndex.L002	"[1,2)"
2192.H05b.Front.Door.Knob.2741.lane5.NoIndex.L005	"[1,2)"
945.P5.F7.lane2.NoIndex.L002	"[1,2)"
1721.S27M	"[1,2)"
925.SF5x	"[1,2)"
945.P8.B7.lane2.NoIndex.L002	"[1,2)"
2192.H02a.Bathroom.Door.Knob.726.lane2.NoIndex.L002	"[1,2)"
945.P4.A4.lane2.NoIndex.L002	"[1,2)"
945.P11.H2.lane3.NoIndex.L003	"[1,2)"
925.SF5z	"[1,2)"
2192.H05b.Bathroom.Door.Knob.2910.lane1.NoIndex.L001	"[1,2)"
2192.H07b.Kitchen.Light.Switch.4059.lane2.NoIndex.L002	"[1,2)"
2192.H05b.Kitchen.Floor.2810.lane6.NoIndex.L006	"[1,2)"
945.P4.D10.lane2.NoIndex.L002	"[1,2)"
925.IC5y	"[1,2)"
2192.H06a.Kitchen.Floor.3026.lane1.NoIndex.L001	"[1,2)"
2192.H06a.Bathroom.Door.Knob.3030.lane1.NoIndex.L001	"[1,2)"
2192.H02a.Bathroom.Door.Knob.846.lane2.NoIndex.L002	"[1,2)"
755.MP.Mock.bacteria.1.lane3.NoIndex.L003	"[1,2)"
2192.H05b.Kitchen.Floor.2618.lane5.NoIndex.L005	"[1,2)"
2192.H06b.Kitchen.Floor.3170.lane5.NoIndex.L005	"[1,2)"
1883.2010.15.Crump.Artic.LTREB.main.lane3.NoIndex	"[1,2)"
945.P5.C7.lane2.NoIndex.L002	"[1,2)"
2192.H07b.Kitchen.Light.Switch.4107.lane2.NoIndex.L002	"[1,2)"
1883.2009.364.Crump.Artic.LTREB.main.lane3.NoIndex	"[1,2)"
2192.H02a.Bathroom.Door.Knob.798.lane2.NoIndex.L002	"[1,2)"
638.RMK.ENR.33.1	"[1,2)"
638.RMK.ENR.34.1	"[1,2)"
2192.H05b.Kitchen.Light.Switch.2811.lane6.NoIndex.L006	"[1,2)"
1883.2007.45.Crump.Artic.LTREB.main.lane2.NoIndex	"[1,2)"
2192.H05b.Kitchen.Light.Switch.2619.lane5.NoIndex.L005	"[1,2)"
945.P5.E3.lane2.NoIndex.L002	"[1,2)"
2192.H03a.Kitchen.Floor.1442.lane5.NoIndex.L005	"[1,2)"
1721.S26B	"[1,2)"
945.P5.D3.lane2.NoIndex.L002	"[1,2)"
945.P12.C4.lane3.NoIndex.L003	"[1,2)"
2192.H01a.Bathroom.Door.Knob.246.lane2.NoIndex.L002	"[1,2)"
1721.B26B	"[1,2)"
2192.H01a.Front.Door.Knob.245.lane2.NoIndex.L002	"[1,2)"
1721.S26M	"[1,2)"
945.P2.G2.lane2.NoIndex.L002	"[1,2)"
2192.H01a.Bathroom.Door.Knob.54.lane1.NoIndex.L001	"[1,2)"
2192.H05b.Front.Door.Knob.2669.lane5.NoIndex.L005	"[1,2)"
1288.HKH20July07.McMahon.Pool.2.and.1percentPhiX.110310.HWUSI.EAS552R.0357.s.8.1.sequence	"[1,2)"
2192.H07b.Bathroom.Door.Knob.4134.lane6.NoIndex.L006	"[1,2)"
2192.H07a.Kitchen.Counter.3769.lane2.NoIndex.L002	"[1,2)"
1288.HKH30July07.McMahon.Pool.2.and.1percentPhiX.110310.HWUSI.EAS552R.0357.s.2.1.sequence	"[1,2)"
1721.S27T	"[1,2)"
755.LAB.IN.26.05.11.lane1.NoIndex.L001	"[1,2)"
755.LSSF.THETA.D30.22.07.11.lane3.NoIndex.L003	"[1,2)"
1883.2007.462.Crump.Artic.LTREB.main.lane2.NoIndex	"[1,2)"
2192.H06b.Front.Door.Knob.3101.lane1.NoIndex.L001	"[1,2)"
945.P1.B2.lane2.NoIndex.L002	"[1,2)"
2192.H02a.Kitchen.Light.Switch.915.lane2.NoIndex.L002	"[1,2)"
638.RMK.ENR.36.1	"[1,2)"
638.RMK.ENR.33.2	"[1,2)"
755.LSSF.GAMMA.D5.26.05.11.lane1.NoIndex.L001	"[1,2)"
2192.H06b.Front.Door.Knob.3341.lane5.NoIndex.L005	"[1,2)"
945.P8.H6.lane2.NoIndex.L002	"[1,2)"
945.P9.E1.lane2.NoIndex.L002	"[1,2)"
1721.S28M	"[1,2)"
2192.H05b.Front.Door.Knob.2981.lane1.NoIndex.L001	"[1,2)"
945.P7.E1.lane2.NoIndex.L002	"[1,2)"
1883.2007.467.Crump.Artic.LTREB.main.lane2.NoIndex	"[1,2)"
1721.S29B	"[1,2)"
945.P11.H5.lane3.NoIndex.L003	"[2,3)"
2192.H05b.Front.Door.Knob.2909.lane1.NoIndex.L001	"[2,3)"
2192.H05b.Kitchen.Floor.2906.lane1.NoIndex.L001	"[2,3)"
2192.H07b.Kitchen.Counter.4033.lane2.NoIndex.L002	"[2,3)"
945.P4.B4.lane2.NoIndex.L002	"[2,3)"
1883.2009.229.Crump.Artic.LTREB.main.lane2.NoIndex	"[2,3)"
2192.H03a.Kitchen.Light.Switch.1491.lane5.NoIndex.L005	"[2,3)"
1883.2007.535.Crump.Artic.LTREB.main.lane2.NoIndex	"[2,3)"
945.P12.A12.lane5.NoIndex.L005	"[2,3)"
1883.2009.363.Crump.Artic.LTREB.main.lane3.NoIndex	"[2,3)"
945.P6.E7.lane2.NoIndex.L002	"[2,3)"
1288.HKH20July07.McMahon.Pool.2.and.1percentPhiX.110310.HWUSI.EAS552R.0357.s.2.1.sequence	"[2,3)"
2192.H06b.Kitchen.Light.Switch.3219.lane2.NoIndex.L002	"[2,3)"
