ID	group
2229.S2.T2.4.HP2.Thomas.CMB.Seaweed.lane6.NoIndex.L006	"[10,15)"
2229.S2.T2.4.HP3.Thomas.CMB.Seaweed.lane6.NoIndex.L006	"[10,15)"
2229.S2.T2.4.HP4.Thomas.CMB.Seaweed.lane6.NoIndex.L006	"[10,15)"
2229.S2.T2.4.HP5.Thomas.CMB.Seaweed.lane6.NoIndex.L006	"[10,15)"
2229.S2.T2.6.HP1.Thomas.CMB.Seaweed.lane6.NoIndex.L006	"[10,15)"
2229.S2.T2.6.HP2.Thomas.CMB.Seaweed.lane6.NoIndex.L006	"[10,15)"
2229.S2.T2.6.HP3.Thomas.CMB.Seaweed.lane6.NoIndex.L006	"[10,15)"
2229.S2.T2.6.HP4.Thomas.CMB.Seaweed.lane6.NoIndex.L006	"[10,15)"
2229.S2.T2.5.HP2.Thomas.CMB.Seaweed.lane6.NoIndex.L006	"[10,15)"
2229.S2.T2.5.HP3.Thomas.CMB.Seaweed.lane6.NoIndex.L006	"[10,15)"
2229.S2.T2.5.HP4.Thomas.CMB.Seaweed.lane6.NoIndex.L006	"[10,15)"
2229.S2.T2.5.HP5.Thomas.CMB.Seaweed.lane6.NoIndex.L006	"[10,15)"
2229.S2.T1.5.FP1.Thomas.CMB.Seaweed.lane6.NoIndex.L006	"[10,15)"
2229.S2.T1.5.FP2.Thomas.CMB.Seaweed.lane6.NoIndex.L006	"[10,15)"
2229.S2.T1.5.FP3.Thomas.CMB.Seaweed.lane6.NoIndex.L006	"[10,15)"
2229.S2.T1.5.FP4.Thomas.CMB.Seaweed.lane6.NoIndex.L006	"[10,15)"
2229.S2.T1.5.FP5.Thomas.CMB.Seaweed.lane6.NoIndex.L006	"[10,15)"
2229.S2.T1.4.FP3.Thomas.CMB.Seaweed.lane6.NoIndex.L006	"[10,15)"
2229.S2.T1.4.FP4.Thomas.CMB.Seaweed.lane6.NoIndex.L006	"[10,15)"
2229.S2.T1.4.FP5.Thomas.CMB.Seaweed.lane6.NoIndex.L006	"[10,15)"
2229.S2.T1.4.HP1.Thomas.CMB.Seaweed.lane6.NoIndex.L006	"[10,15)"
2229.S2.T1.4.HP2.Thomas.CMB.Seaweed.lane6.NoIndex.L006	"[10,15)"
2229.S2.T1.4.HP4.Thomas.CMB.Seaweed.lane6.NoIndex.L006	"[10,15)"
2229.S2.T1.4.HP5.Thomas.CMB.Seaweed.lane6.NoIndex.L006	"[10,15)"
2229.S2.N3.6.HP2.Thomas.CMB.Seaweed.lane6.NoIndex.L006	"[10,15)"
2229.S2.N3.5.HP1.Thomas.CMB.Seaweed.lane6.NoIndex.L006	"[10,15)"
2229.S2.N3.5.HP2.Thomas.CMB.Seaweed.lane6.NoIndex.L006	"[10,15)"
2229.S2.N3.5.HP3.Thomas.CMB.Seaweed.lane6.NoIndex.L006	"[10,15)"
2229.S2.N3.5.HP4.Thomas.CMB.Seaweed.lane6.NoIndex.L006	"[10,15)"
2229.S2.N3.5.HP5.Thomas.CMB.Seaweed.lane6.NoIndex.L006	"[10,15)"
2229.S2.N3.5.SP1.Thomas.CMB.Seaweed.lane6.NoIndex.L006	"[10,15)"
2229.S2.N3.5.SP2.Thomas.CMB.Seaweed.lane6.NoIndex.L006	"[10,15)"
2229.S2.N3.5.SP3.Thomas.CMB.Seaweed.lane6.NoIndex.L006	"[10,15)"
2229.S2.N3.5.SP4.Thomas.CMB.Seaweed.lane6.NoIndex.L006	"[10,15)"
2229.S1.N3.4.HE1.Thomas.CMB.Seaweed.lane6.NoIndex.L006	"[10,15)"
2229.S1.N3.4.HE2.Thomas.CMB.Seaweed.lane6.NoIndex.L006	"[10,15)"
2229.S1.N3.4.HE3.Thomas.CMB.Seaweed.lane6.NoIndex.L006	"[10,15)"
2229.S2.N3.4.HP3.Thomas.CMB.Seaweed.lane6.NoIndex.L006	"[10,15)"
2229.S2.N3.4.HP4.Thomas.CMB.Seaweed.lane6.NoIndex.L006	"[10,15)"
2229.S2.N3.4.HP5.Thomas.CMB.Seaweed.lane6.NoIndex.L006	"[10,15)"
2229.S2.T1.4.FP1.Thomas.CMB.Seaweed.lane6.NoIndex.L006	"[10,15)"
