ID	group
2229.S1.T12.EH1.Thomas.CMB.Seaweed.lane6.NoIndex.L006	"[-50,-40)"
2229.S1.T12.EH2.Thomas.CMB.Seaweed.lane6.NoIndex.L006	"[-50,-40)"
2229.S1.T12.EH3.Thomas.CMB.Seaweed.lane6.NoIndex.L006	"[-50,-40)"
2229.S1.T12.EH4.Thomas.CMB.Seaweed.lane6.NoIndex.L006	"[-50,-40)"
2229.S1.T12.EH5.Thomas.CMB.Seaweed.lane6.NoIndex.L006	"[-50,-40)"
2229.S1.T12.PH1.Thomas.CMB.Seaweed.lane6.NoIndex.L006	"[-50,-40)"
2229.S1.T12.PH2.Thomas.CMB.Seaweed.lane6.NoIndex.L006	"[-50,-40)"
2229.S1.T12.PH3.Thomas.CMB.Seaweed.lane6.NoIndex.L006	"[-50,-40)"
2229.S1.T12.PH4.Thomas.CMB.Seaweed.lane6.NoIndex.L006	"[-50,-40)"
2229.S1.T12.PH5.Thomas.CMB.Seaweed.lane6.NoIndex.L006	"[-50,-40)"
2229.S2.T12.EH1.Thomas.CMB.Seaweed.lane6.NoIndex.L006	"[-50,-40)"
2229.S2.T12.EH3.Thomas.CMB.Seaweed.lane6.NoIndex.L006	"[-50,-40)"
2229.S2.T12.EH4.Thomas.CMB.Seaweed.lane6.NoIndex.L006	"[-50,-40)"
2229.S2.T12.EH5.Thomas.CMB.Seaweed.lane6.NoIndex.L006	"[-50,-40)"
2229.S2.T12.PH1.Thomas.CMB.Seaweed.lane6.NoIndex.L006	"[-50,-40)"
2229.S2.T12.PH2.Thomas.CMB.Seaweed.lane6.NoIndex.L006	"[-50,-40)"
2229.S2.T12.PH3.Thomas.CMB.Seaweed.lane6.NoIndex.L006	"[-50,-40)"
2229.S2.T12.PH4.Thomas.CMB.Seaweed.lane6.NoIndex.L006	"[-50,-40)"
2229.S2.T12.PH5.Thomas.CMB.Seaweed.lane6.NoIndex.L006	"[-50,-40)"
2229.W1.T12.EH4.Thomas.CMB.Seaweed.lane5.NoIndex.L005	"[-50,-40)"
2229.W1.T12.EH5.Thomas.CMB.Seaweed.lane5.NoIndex.L005	"[-50,-40)"
2229.W1.T12.PH1.Thomas.CMB.Seaweed.lane6.NoIndex.L006	"[-50,-40)"
2229.W1.T12.PH2.Thomas.CMB.Seaweed.lane6.NoIndex.L006	"[-50,-40)"
2229.W1.T12.PH3.Thomas.CMB.Seaweed.lane6.NoIndex.L006	"[-50,-40)"
2229.W1.T12.PH4.Thomas.CMB.Seaweed.lane6.NoIndex.L006	"[-50,-40)"
2229.W1.T12.PH5.Thomas.CMB.Seaweed.lane6.NoIndex.L006	"[-50,-40)"
2229.W1.T12.PS1.Thomas.CMB.Seaweed.lane6.NoIndex.L006	"[-50,-40)"
2229.W2.T12.EH1.Thomas.CMB.Seaweed.lane5.NoIndex.L005	"[-50,-40)"
2229.W2.T12.EH2.Thomas.CMB.Seaweed.lane5.NoIndex.L005	"[-50,-40)"
2229.W2.T12.EH3.Thomas.CMB.Seaweed.lane5.NoIndex.L005	"[-50,-40)"
2229.W2.T12.EH4.Thomas.CMB.Seaweed.lane5.NoIndex.L005	"[-50,-40)"
2229.W2.T12.EH5.Thomas.CMB.Seaweed.lane5.NoIndex.L005	"[-50,-40)"
2229.W2.T12.PH1.Thomas.CMB.Seaweed.lane6.NoIndex.L006	"[-50,-40)"
2229.W2.T12.PH2.Thomas.CMB.Seaweed.lane6.NoIndex.L006	"[-50,-40)"
2229.W2.T12.PH3.Thomas.CMB.Seaweed.lane6.NoIndex.L006	"[-50,-40)"
2229.W2.T12.PH4.Thomas.CMB.Seaweed.lane6.NoIndex.L006	"[-50,-40)"
2229.W2.T12.PH5.Thomas.CMB.Seaweed.lane6.NoIndex.L006	"[-50,-40)"
933.Phylospora.comosa.2.5	"[-50,-40)"
933.Phylospora.comosa.2.4	"[-50,-40)"
933.T.1.2.S.E.5	"[-50,-40)"
933.T.1.2.S.E.4	"[-50,-40)"
933.T.1.2.S.E.3	"[-50,-40)"
933.T.1.2.S.E.2	"[-50,-40)"
933.T.1.2.S.E.1	"[-50,-40)"
933.T.1.2.H.E.5	"[-50,-40)"
933.T.1.2.H.E.4	"[-50,-40)"
933.T.1.2.H.E.3	"[-50,-40)"
933.T.1.2.H.E.2	"[-50,-40)"
933.T.1.2.H.E.1	"[-50,-40)"
2229.S1.T1.6.HP1.Thomas.CMB.Seaweed.lane6.NoIndex.L006	"[-50,-40)"
2229.S1.T1.6.HP2.Thomas.CMB.Seaweed.lane6.NoIndex.L006	"[-50,-40)"
2229.S1.T1.6.HP3.Thomas.CMB.Seaweed.lane6.NoIndex.L006	"[-50,-40)"
2229.S1.T1.6.HP5.Thomas.CMB.Seaweed.lane6.NoIndex.L006	"[-50,-40)"
2229.S2.T1.6.HP1.Thomas.CMB.Seaweed.lane6.NoIndex.L006	"[-50,-40)"
2229.S2.T1.6.HP2.Thomas.CMB.Seaweed.lane6.NoIndex.L006	"[-50,-40)"
2229.S2.T1.6.HP3.Thomas.CMB.Seaweed.lane6.NoIndex.L006	"[-50,-40)"
2229.S2.T1.6.HP4.Thomas.CMB.Seaweed.lane6.NoIndex.L006	"[-50,-40)"
2229.S2.T1.6.HP5.Thomas.CMB.Seaweed.lane6.NoIndex.L006	"[-50,-40)"
2229.W1.T1.6.HP1.Thomas.CMB.Seaweed.lane5.NoIndex.L005	"[-50,-40)"
2229.W1.T1.6.HP2.Thomas.CMB.Seaweed.lane5.NoIndex.L005	"[-50,-40)"
2229.W1.T1.6.HP3.Thomas.CMB.Seaweed.lane5.NoIndex.L005	"[-50,-40)"
2229.W1.T1.6.HP4.Thomas.CMB.Seaweed.lane5.NoIndex.L005	"[-50,-40)"
2229.W1.T1.6.HP5.Thomas.CMB.Seaweed.lane5.NoIndex.L005	"[-50,-40)"
2229.W2.T1.6.HP1.Thomas.CMB.Seaweed.lane5.NoIndex.L005	"[-50,-40)"
2229.W2.T1.6.HP2.Thomas.CMB.Seaweed.lane5.NoIndex.L005	"[-50,-40)"
2229.W2.T1.6.HP3.Thomas.CMB.Seaweed.lane5.NoIndex.L005	"[-50,-40)"
2229.W2.T1.6.HP5.Thomas.CMB.Seaweed.lane5.NoIndex.L005	"[-50,-40)"
2229.S1.T13.EH1.Thomas.CMB.Seaweed.lane6.NoIndex.L006	"[-50,-40)"
2229.S1.T13.EH2.Thomas.CMB.Seaweed.lane6.NoIndex.L006	"[-50,-40)"
2229.S1.T13.EH3.Thomas.CMB.Seaweed.lane6.NoIndex.L006	"[-50,-40)"
2229.S1.T13.EH4.Thomas.CMB.Seaweed.lane6.NoIndex.L006	"[-50,-40)"
2229.S1.T13.EH5.Thomas.CMB.Seaweed.lane6.NoIndex.L006	"[-50,-40)"
2229.S1.T13.PH1.Thomas.CMB.Seaweed.lane6.NoIndex.L006	"[-50,-40)"
2229.S1.T13.PH2.Thomas.CMB.Seaweed.lane6.NoIndex.L006	"[-50,-40)"
2229.S1.T13.PH3.Thomas.CMB.Seaweed.lane6.NoIndex.L006	"[-50,-40)"
2229.S1.T13.PH4.Thomas.CMB.Seaweed.lane6.NoIndex.L006	"[-50,-40)"
2229.S1.T13.PH5.Thomas.CMB.Seaweed.lane6.NoIndex.L006	"[-50,-40)"
2229.S2.T13.EH1.Thomas.CMB.Seaweed.lane6.NoIndex.L006	"[-50,-40)"
2229.S2.T13.EH2.Thomas.CMB.Seaweed.lane6.NoIndex.L006	"[-50,-40)"
2229.S2.T13.EH3.Thomas.CMB.Seaweed.lane6.NoIndex.L006	"[-50,-40)"
2229.S2.T13.EH4.Thomas.CMB.Seaweed.lane6.NoIndex.L006	"[-50,-40)"
2229.S2.T13.EH5.Thomas.CMB.Seaweed.lane6.NoIndex.L006	"[-50,-40)"
2229.S2.T13.PH1.Thomas.CMB.Seaweed.lane6.NoIndex.L006	"[-50,-40)"
2229.S2.T13.PH2.Thomas.CMB.Seaweed.lane6.NoIndex.L006	"[-50,-40)"
2229.S2.T13.PH3.Thomas.CMB.Seaweed.lane6.NoIndex.L006	"[-50,-40)"
2229.S2.T13.PH4.Thomas.CMB.Seaweed.lane6.NoIndex.L006	"[-50,-40)"
2229.S2.T13.PH5.Thomas.CMB.Seaweed.lane6.NoIndex.L006	"[-50,-40)"
2229.S2.T13.PS1.Thomas.CMB.Seaweed.lane6.NoIndex.L006	"[-50,-40)"
2229.S2.T13.PS2.Thomas.CMB.Seaweed.lane6.NoIndex.L006	"[-50,-40)"
2229.S2.T13.PS3.Thomas.CMB.Seaweed.lane6.NoIndex.L006	"[-50,-40)"
2229.S2.T13.PS4.Thomas.CMB.Seaweed.lane6.NoIndex.L006	"[-50,-40)"
2229.W1.T13.EH1.Thomas.CMB.Seaweed.lane5.NoIndex.L005	"[-50,-40)"
2229.W1.T13.EH2.Thomas.CMB.Seaweed.lane5.NoIndex.L005	"[-50,-40)"
2229.W1.T13.EH3.Thomas.CMB.Seaweed.lane5.NoIndex.L005	"[-50,-40)"
2229.W1.T13.EH4.Thomas.CMB.Seaweed.lane5.NoIndex.L005	"[-50,-40)"
2229.W1.T13.ES1.Thomas.CMB.Seaweed.lane5.NoIndex.L005	"[-50,-40)"
2229.W1.T13.ES2.Thomas.CMB.Seaweed.lane5.NoIndex.L005	"[-50,-40)"
2229.W1.T13.ES3.Thomas.CMB.Seaweed.lane5.NoIndex.L005	"[-50,-40)"
2229.W1.T13.ES4.Thomas.CMB.Seaweed.lane5.NoIndex.L005	"[-50,-40)"
2229.W1.T13.ES5.Thomas.CMB.Seaweed.lane5.NoIndex.L005	"[-50,-40)"
2229.W1.T13.PH3.Thomas.CMB.Seaweed.lane6.NoIndex.L006	"[-50,-40)"
2229.W1.T13.PH4.Thomas.CMB.Seaweed.lane6.NoIndex.L006	"[-50,-40)"
2229.W1.T13.PH5.Thomas.CMB.Seaweed.lane6.NoIndex.L006	"[-50,-40)"
2229.W2.T13.EH1.Thomas.CMB.Seaweed.lane5.NoIndex.L005	"[-50,-40)"
2229.W2.T13.EH2.Thomas.CMB.Seaweed.lane5.NoIndex.L005	"[-50,-40)"
2229.W2.T13.EH3.Thomas.CMB.Seaweed.lane5.NoIndex.L005	"[-50,-40)"
2229.W2.T13.EH4.Thomas.CMB.Seaweed.lane5.NoIndex.L005	"[-50,-40)"
2229.W2.T13.EH5.Thomas.CMB.Seaweed.lane5.NoIndex.L005	"[-50,-40)"
2229.W2.T13.PH1.Thomas.CMB.Seaweed.lane6.NoIndex.L006	"[-50,-40)"
2229.W2.T13.PH4.Thomas.CMB.Seaweed.lane6.NoIndex.L006	"[-50,-40)"
2229.W2.T13.PH5.Thomas.CMB.Seaweed.lane6.NoIndex.L006	"[-50,-40)"
933.Phylospora.comosa.3.2	"[-50,-40)"
933.Phylospora.comosa.4.5	"[-50,-40)"
933.Phylospora.comosa.4.1	"[-50,-40)"
933.Phylospora.comosa.3.5	"[-50,-40)"
933.T.1.3.S.E.5	"[-50,-40)"
933.T.1.3.S.E.4	"[-50,-40)"
933.T.1.3.S.E.3	"[-50,-40)"
933.T.1.3.S.E.2	"[-50,-40)"
933.T.1.3.S.E.1	"[-50,-40)"
933.T.1.3.H.E.5	"[-50,-40)"
933.T.1.3.H.E.4	"[-50,-40)"
933.T.1.3.H.E.3	"[-50,-40)"
933.T.1.3.H.E.1	"[-50,-40)"
2229.S1.T1.5.HP2.Thomas.CMB.Seaweed.lane6.NoIndex.L006	"[-50,-40)"
2229.S1.T1.5.HP4.Thomas.CMB.Seaweed.lane6.NoIndex.L006	"[-50,-40)"
2229.S1.T1.5.HP5.Thomas.CMB.Seaweed.lane6.NoIndex.L006	"[-50,-40)"
2229.S2.T1.5.FP1.Thomas.CMB.Seaweed.lane6.NoIndex.L006	"[-50,-40)"
2229.S2.T1.5.FP2.Thomas.CMB.Seaweed.lane6.NoIndex.L006	"[-50,-40)"
2229.S2.T1.5.FP3.Thomas.CMB.Seaweed.lane6.NoIndex.L006	"[-50,-40)"
2229.S2.T1.5.FP4.Thomas.CMB.Seaweed.lane6.NoIndex.L006	"[-50,-40)"
2229.S2.T1.5.FP5.Thomas.CMB.Seaweed.lane6.NoIndex.L006	"[-50,-40)"
2229.S2.T1.5.HP1.Thomas.CMB.Seaweed.lane6.NoIndex.L006	"[-50,-40)"
2229.S2.T1.5.HP3.Thomas.CMB.Seaweed.lane6.NoIndex.L006	"[-50,-40)"
2229.S2.T1.5.HP4.Thomas.CMB.Seaweed.lane6.NoIndex.L006	"[-50,-40)"
2229.S2.T1.5.HP5.Thomas.CMB.Seaweed.lane6.NoIndex.L006	"[-50,-40)"
2229.W1.T1.5.HP1.Thomas.CMB.Seaweed.lane5.NoIndex.L005	"[-50,-40)"
2229.W1.T1.5.HP2.Thomas.CMB.Seaweed.lane5.NoIndex.L005	"[-50,-40)"
2229.W1.T1.5.HP3.Thomas.CMB.Seaweed.lane5.NoIndex.L005	"[-50,-40)"
2229.W1.T1.5.HP4.Thomas.CMB.Seaweed.lane5.NoIndex.L005	"[-50,-40)"
2229.W1.T1.5.HP5.Thomas.CMB.Seaweed.lane5.NoIndex.L005	"[-50,-40)"
2229.W2.T1.5.HP1.Thomas.CMB.Seaweed.lane5.NoIndex.L005	"[-50,-40)"
2229.W2.T1.5.HP2.Thomas.CMB.Seaweed.lane5.NoIndex.L005	"[-50,-40)"
2229.W2.T1.5.HP3.Thomas.CMB.Seaweed.lane5.NoIndex.L005	"[-50,-40)"
2229.W2.T1.5.HP4.Thomas.CMB.Seaweed.lane5.NoIndex.L005	"[-50,-40)"
2229.W2.T1.5.HP5.Thomas.CMB.Seaweed.lane5.NoIndex.L005	"[-50,-40)"
2229.S1.T1.4.HP1.Thomas.CMB.Seaweed.lane6.NoIndex.L006	"[-50,-40)"
2229.S1.T1.4.HP2.Thomas.CMB.Seaweed.lane6.NoIndex.L006	"[-50,-40)"
2229.S1.T1.4.HP4.Thomas.CMB.Seaweed.lane6.NoIndex.L006	"[-50,-40)"
2229.S1.T1.4.HP5.Thomas.CMB.Seaweed.lane6.NoIndex.L006	"[-50,-40)"
2229.S2.T1.4.FP1.Thomas.CMB.Seaweed.lane6.NoIndex.L006	"[-50,-40)"
2229.S2.T1.4.FP2.Thomas.CMB.Seaweed.lane6.NoIndex.L006	"[-50,-40)"
2229.S2.T1.4.FP3.Thomas.CMB.Seaweed.lane6.NoIndex.L006	"[-50,-40)"
2229.S2.T1.4.FP4.Thomas.CMB.Seaweed.lane6.NoIndex.L006	"[-50,-40)"
