ID	group
2382.MU002.C3.HA.5.699.leav.9.12.lane8.NoIndex.L008.sequences	"[0,1)"
2382.SH008.C6.HA.4.745.gp.9.12.lane8.NoIndex.L008.sequences	"[0,1)"
2382.SH004.C1.RH.2.609.leav.9.12.lane8.NoIndex.L008.sequences	"[0,1)"
2382.MU002.C3.HA.3.689.leav.9.12.lane8.NoIndex.L008.sequences	"[0,1)"
2382.SH008.C6.HA.5.749.leav.9.12.lane8.NoIndex.L008.sequences	"[0,1)"
2382.SH004.C1.RH.1.604.leav.9.12.lane8.NoIndex.L008.sequences	"[0,1)"
2382.MU002.C3.HA.4.76.r1.leav.6.11.lane8.NoIndex.L008.sequences	"[0,1)"
2382.SH007.C6.RH.4.720.gp.9.12.lane8.NoIndex.L008.sequences	"[0,1)"
2382.RU006.C181.RH.4.795.gp.9.12.lane8.NoIndex.L008.sequences	"[0,1)"
2382.SH004.C1.RH.1.605.gp.9.12.lane8.NoIndex.L008.sequences	"[0,1)"
2382.SH004.C1.RH.2.610.gp.9.12.lane8.NoIndex.L008.sequences	"[0,1)"
2382.DPOO1.C1.HA.2.635.gp.9.12.lane8.NoIndex.L008.sequences	"[0,1)"
2382.SH004.C1.RH.5.624.leav.9.12.lane8.NoIndex.L008.sequences	"[0,1)"
2382.SH004.C1.RH.3.614.leav.9.12.lane8.NoIndex.L008.sequences	"[0,1)"
2382.SH007.C6.RH.4.719.leav.9.12.lane8.NoIndex.L008.sequences	"[0,1)"
2382.DPOO1.C1.HA.4.644.leav.9.12.lane8.NoIndex.L008.sequences	"[0,1)"
2382.SH004.C1.RH.3.215.r1.gp.9.11.lane8.NoIndex.L008.sequences	"[0,1)"
2382.RU006.C181.RH.3.790.gp.9.12.lane8.NoIndex.L008.sequences	"[0,1)"
2382.RU006.C181.RH.1.779.leav.9.12.lane8.NoIndex.L008.sequences	"[0,1)"
2382.DPOO1.C1.HA.5.649.leav.9.12.lane8.NoIndex.L008.sequences	"[0,1)"
2382.SH004.C1.RH.4.620.gp.9.12.lane8.NoIndex.L008.sequences	"[0,1)"
2382.SH005.C3.RH.4.670.gp.9.12.lane8.NoIndex.L008.sequences	"[0,1)"
2382.RU006.C181.RH.2.785.gp.9.12.lane8.NoIndex.L008.sequences	"[0,1)"
2382.SH008.C6.HA.1.SH008.leav.leav.9.12.lane8.NoIndex.L008.sequences	"[0,1)"
2382.RU006.C181.RH.1.780.gp.9.12.lane8.NoIndex.L008.sequences	"[0,1)"
2382.SH007.C6.RH.5.724.leav.9.12.lane8.NoIndex.L008.sequences	"[0,1)"
2382.SH007.C6.RH.2.709.leav.9.12.lane8.NoIndex.L008.sequences	"[0,1)"
2382.SH008.C6.HA.1.SH008.gp.gp.9.12.lane8.NoIndex.L008.sequences	"[0,1)"
2382.HE003.C181.HA.4.769.leav.9.12.lane8.NoIndex.L008.sequences	"[0,1)"
2382.SH008.C6.HA.5.750.gp.9.12.lane8.NoIndex.L008.sequences	"[0,1)"
2382.SH007.C6.RH.5.725.gp.9.12.lane8.NoIndex.L008.sequences	"[0,1)"
2382.GM.181.R2.leav.10.12.lane8.NoIndex.L008.sequences	"[0,1)"
2382.SH005.C3.RH.5.675.gp.9.12.lane8.NoIndex.L008.sequences	"[0,1)"
2382.SH008.C6.HA.4.744.leav.9.12.lane8.NoIndex.L008.sequences	"[0,1)"
2382.SH004.C1.RH.4.619.leav.9.12.lane8.NoIndex.L008.sequences	"[0,1)"
2382.SH008.C6.HA.1.729.leav.9.12.lane8.NoIndex.L008.sequences	"[0,1)"
2382.DPOO1.C1.HA.3.32.r1.leav.6.11.lane8.NoIndex.L008.sequences	"[0,1)"
2382.SH005.C3.RH.4.669.leav.9.12.lane8.NoIndex.L008.sequences	"[0,1)"
2382.MU002.C3.HA.4.295.r1.gp.9.11.lane8.NoIndex.L008.sequences	"[0,1)"
2382.DPOO1.C1.HA.3.639.leav.9.12.lane8.NoIndex.L008.sequences	"[0,1)"
2382.DPOO1.C1.HA.4.645.gp.9.12.lane8.NoIndex.L008.sequences	"[0,1)"
2382.RU006.C181.RH.2.784.leav.9.12.lane8.NoIndex.L008.sequences	"[0,1)"
2382.MU002.C3.HA.2.684.leav.9.12.lane8.NoIndex.L008.sequences	"[0,1)"
2382.GM.181.R1.gp.10.12.lane8.NoIndex.L008.sequences	"[0,1)"
2382.SH008.C6.HA.2.735.gp.9.12.lane8.NoIndex.L008.sequences	"[0,1)"
2382.SH007.C6.RH.3.715.gp.9.12.lane8.NoIndex.L008.sequences	"[0,1)"
2382.HE003.C181.HA.4.770.gp.9.12.lane8.NoIndex.L008.sequences	"[0,1)"
2382.SH005.C3.RH.2.659.leav.9.12.lane8.NoIndex.L008.sequences	"[0,1)"
2382.SH008.C6.HA.3.739.leav.9.12.lane8.NoIndex.L008.sequences	"[0,1)"
