ID	group
1198.ANT06.S2M3	"[-70,-60)"
1198.ANT05.S2M2	"[-70,-60)"
1198.ANT04.S2M1	"[-70,-60)"
1198.ANT03.S1M3	"[-70,-60)"
1198.ANT02.S1M2	"[-70,-60)"
1198.ARG06.ORi08.InfralitoralC	"[-60,-50)"
1198.ARG05.ORi08.InfralitoralB	"[-60,-50)"
1198.ARG04.ORi08.InfralitoralA	"[-60,-50)"
1198.ARG03.MC08.UshuaiaC	"[-60,-50)"
1039.I.Fundao.HB	"[-30,-20)"
1039.I.Fundao.SA	"[-30,-20)"
1039.I.Fundao.SB	"[-30,-20)"
1039.I.Fundao.SB.7.8	"[-30,-20)"
1039.L.Jacarepia.SA	"[-30,-20)"
1039.L.Jacarepia.SB	"[-30,-20)"
1039.P.Abraao.HA	"[-30,-20)"
1039.P.Abraao.SA.	"[-30,-20)"
1039.P.Abraao.SA.1.4	"[-30,-20)"
1039.P.Abraao.SB	"[-30,-20)"
1039.P.Dois.Rios.SA.1.7	"[-30,-20)"
1039.P.Dois.Rios.SB	"[-30,-20)"
1039.P.Massambaba.HA	"[-30,-20)"
1039.P.Massambaba.SA	"[-30,-20)"
1039.P.Massambaba.SA.1.4	"[-30,-20)"
1039.P.Massambaba.SB	"[-30,-20)"
1039.L.Vermelha.HC	"[-30,-20)"
1039.L.Vermelha.SA	"[-30,-20)"
1039.L.Vermelha.SB	"[-30,-20)"
1039.L.Vermelha.SC.2.3	"[-30,-20)"
810.1230A1H1	"[-10,0)"
810.1230A2H2	"[-10,0)"
810.1230C2H2	"[-10,0)"
2080.S16D40	"[0,10)"
2080.S16D90	"[0,10)"
2080.S16D765	"[0,10)"
2080.S16D2165	"[0,10)"
2080.S16D4611	"[0,10)"
2080.S24D35	"[10,20)"
2080.S24D85	"[10,20)"
2080.S24D365	"[10,20)"
2080.S24D2085	"[10,20)"
2080.S24D4898	"[10,20)"
2080.S26D75.100	"[10,20)"
2080.S26D350.400	"[10,20)"
2080.S30D60	"[10,20)"
2080.S30D215	"[10,20)"
2080.S30D2085	"[10,20)"
2080.S33D60.85	"[10,20)"
2080.S33D365	"[10,20)"
2080.S33D2585	"[10,20)"
1580.WPB.filt.	"[10,20)"
1580.WPB.sed.D1	"[10,20)"
1580.WPC.filt.	"[10,20)"
1580.WPC.sed.D1	"[10,20)"
1580.WPA.filt.	"[10,20)"
1580.WPA.sed.D1	"[10,20)"
