ID	group
1673.MBS119.3DY	"[0,1)"
905.Alsback.0.25to0.5cm	"[0,1)"
905.Alsback.0.75to1cm	"[0,1)"
905.Gullmarsfjord.stations4	"[0,1)"
723.AcidLow1.G3.Catlin2.16Spool.110602.HWI.EAS137R.0375.s.5.1.sequence	"[0,1)"
905.Gullmarsfjord.stations1	"[0,1)"
1673.MBS119.3	"[0,1)"
905.Alsback.0.5to0.75cm	"[1,2)"
1673.MBS0330.3	"[1,2)"
804.H05.072905.R0229A	"[1,2)"
1240.2704BCDNA	"[1,2)"
905.Gullmarsfjord.stations5	"[1,2)"
905.Gullmarsfjord.stations3	"[1,2)"
905.Gullmarsfjord.stations2	"[1,2)"
804.H06.073005.Bio2slurpA2.0326	"[1,2)"
804.Julie.12	"[1,2)"
905.Alsback.3to3.5cm	"[1,2)"
804.LS11.128	"[1,2)"
1673.MBS65.2	"[1,2)"
1673.MBS0428.5	"[1,2)"
804.LS11.127	"[1,2)"
905.Gullmarsfjord.stations6	"[1,2)"
905.Alsback.0to0.25cm	"[1,2)"
804.LS11.19	"[1,2)"
662.M11	"[1,2)"
1673.MBS65.4	"[1,2)"
662.M34	"[1,2)"
1673.MBS65.3	"[1,2)"
2080.S48D835	"[2,3)"
905.Alsback.3.5to4cm	"[2,3)"
1235.sp0383	"[2,3)"
905.Alsback.4to4.5cm	"[2,3)"
804.LS11.72a	"[2,3)"
905.Gullmarsfjord.stations9	"[2,3)"
810.1230C2H2	"[2,3)"
905.Alsback.4.5to5cm	"[2,3)"
723.C8.0m.G3.Catlin1.16Spool.110602.HWI.EAS137R.0375.s.3.1.sequence	"[2,3)"
905.SA.Station.5.t0	"[2,3)"
2080.S42D2085	"[2,3)"
723.AcidCtrl2.G3.Catlin2.16Spool.110602.HWI.EAS137R.0375.s.5.1.sequence	"[2,3)"
1673.MBS61	"[2,3)"
1673.MBS105.4	"[2,3)"
905.Gullmarsfjord.stations7	"[2,3)"
905.SA.Station.8.tF	"[2,3)"
723.C9.0m.G3.Catlin1.16Spool.110602.HWI.EAS137R.0375.s.3.1.sequence	"[2,3)"
804.LS11.131	"[2,3)"
905.SA.Station.4.tF	"[2,3)"
905.SA.Station.1.t0	"[2,3)"
804.LS11.30	"[2,3)"
1673.MBS119.3D	"[2,3)"
804.Julie.11	"[2,3)"
804.LS11.31	"[2,3)"
723.C8.5m.G3.Catlin1.16Spool.110602.HWI.EAS137R.0375.s.3.1.sequence	"[2,3)"
861.X52.jul09	"[2,3)"
2080.S48D2335	"[3,4)"
662.M28	"[3,4)"
905.SA.Station.2.tF	"[3,4)"
905.SA.Station.1.tF	"[3,4)"
905.Gullmarsfjord.stations8	"[3,4)"
1235.sp1034	"[3,4)"
2080.S57D3700	"[3,4)"
662.M13	"[3,4)"
1673.MBS105.3	"[3,4)"
804.Julie.9	"[3,4)"
810.1230A2H2	"[3,4)"
662.C2	"[3,4)"
905.SA.Station.5.tF	"[3,4)"
1235.sp0355	"[3,4)"
723.C8.10m.G3.Catlin1.16Spool.110602.HWI.EAS137R.0375.s.3.1.sequence	"[3,4)"
905.SA.Station.4.t0	"[3,4)"
1240.0206B	"[3,4)"
723.C7.5m.G3.Catlin1.16Spool.110602.HWI.EAS137R.0375.s.3.1.sequence	"[3,4)"
1222.B5.5.8.06	"[3,4)"
804.LS11.20	"[3,4)"
723.C9.0m.L3.Catlin1.16Spool.110602.HWI.EAS137R.0375.s.3.1.sequence	"[3,4)"
1222.B1.5.20.06	"[3,4)"
804.Julie.1	"[3,4)"
2080.S39D2585	"[3,4)"
723.C7.0m.G3.Catlin1.16Spool.110602.HWI.EAS137R.0375.s.3.1.sequence	"[3,4)"
662.C1	"[3,4)"
1235.sp1026	"[3,4)"
804.LS11.129	"[3,4)"
1240.0806B	"[3,4)"
1222.B5.5.7.06	"[3,4)"
861.X83.dec08	"[3,4)"
723.C9.10m.G3.Catlin1.16Spool.110602.HWI.EAS137R.0375.s.3.1.sequence	"[3,4)"
905.SA.Station.3.tF	"[3,4)"
1883.2011.536.Crump.Artic.LTREB.main.lane3.NoIndex	"[3,4)"
2080.S54D2585	"[3,4)"
1235.sp1033	"[3,4)"
1235.sp1039	"[3,4)"
2080.S42D735	"[3,4)"
2080.S71D2500	"[3,4)"
662.M1	"[3,4)"
1222.B5.5.10.06	"[3,4)"
1240.2604T	"[3,4)"
1235.sp0384	"[3,4)"
804.Julie.10	"[3,4)"
1235.sp0380	"[3,4)"
1222.B5.5.13.06	"[3,4)"
1235.sp1037	"[3,4)"
723.C10.5m.G3.Catlin1.16Spool.110602.HWI.EAS137R.0375.s.3.1.sequence	"[3,4)"
1235.sp0371	"[3,4)"
2080.S45D2585	"[3,4)"
1240.1307B	"[3,4)"
861.U80.jul09	"[3,4)"
1235.sp0351	"[3,4)"
1235.sp0340	"[3,4)"
662.M26	"[3,4)"
905.SA.Station.8.t0	"[3,4)"
1240.2004B	"[3,4)"
1235.sp1277	"[3,4)"
1235.sp0342	"[3,4)"
1235.sp0346	"[3,4)"
1673.MBS65.1	"[3,4)"
1222.B1.5.21.06	"[3,4)"
1235.sp0325	"[3,4)"
1235.sp0353	"[3,4)"
1235.sp0341	"[3,4)"
662.M2	"[3,4)"
1883.2011.563.Crump.Artic.LTREB.main.lane3.NoIndex	"[3,4)"
1235.sp0372	"[3,4)"
1235.sp0343	"[3,4)"
723.AcidLow3.G3.Catlin2.16Spool.110602.HWI.EAS137R.0375.s.5.1.sequence	"[3,4)"
1235.sp0350	"[3,4)"
1240.1305TCDNA	"[3,4)"
662.M20	"[3,4)"
1235.sp1038	"[3,4)"
1235.sp0310	"[3,4)"
1883.2011.538.Crump.Artic.LTREB.main.lane3.NoIndex	"[3,4)"
1235.sp0349	"[3,4)"
2080.S60D5450.2	"[3,4)"
662.M30	"[3,4)"
1580.A23.number2.filt.D1	"[3,4)"
723.C10.0m.G3.Catlin1.16Spool.110602.HWI.EAS137R.0375.s.3.1.sequence	"[3,4)"
1235.sp1035	"[3,4)"
1222.B2.5.6.06	"[3,4)"
804.LS11.130	"[3,4)"
2080.S45D435	"[3,4)"
1222.B6.5.13.06	"[3,4)"
1673.MBS1.1	"[3,4)"
1235.sp1031	"[3,4)"
1580.A23.number1.filt.D1	"[3,4)"
1240.0707B	"[4,5)"
1235.sp1028	"[4,5)"
1673.MBS0330.4	"[4,5)"
1235.sp0381	"[4,5)"
804.3862.1219	"[4,5)"
1222.B3.5.11.06	"[4,5)"
1673.MBS2	"[4,5)"
1235.sp0345	"[4,5)"
1235.sp1933	"[4,5)"
1235.sp1597	"[4,5)"
1222.B2.5.9.06	"[4,5)"
1580.WPC.filt.	"[4,5)"
1235.sp1554	"[4,5)"
1235.sp1083	"[4,5)"
2080.S39D5329	"[4,5)"
1240.1204B	"[4,5)"
1222.B6.5.7.06	"[4,5)"
723.C9.3m.G3.Catlin1.16Spool.110602.HWI.EAS137R.0375.s.3.1.sequence	"[4,5)"
1240.2105B	"[4,5)"
1235.sp1545	"[4,5)"
1580.WPB.filt.	"[4,5)"
1240.2206B	"[4,5)"
1235.sp1599	"[4,5)"
1235.sp0352	"[4,5)"
1235.sp1087	"[4,5)"
804.H08.080105.Bio5slurpB1.0428.1.1	"[4,5)"
2080.S60D2835	"[4,5)"
1235.sp1591	"[4,5)"
1222.B6.5.12.06	"[4,5)"
1883.2011.491.Crump.Artic.LTREB.main.lane4.NoIndex	"[4,5)"
1240.2906T	"[4,5)"
723.C10.3m.G3.Catlin1.16Spool.110602.HWI.EAS137R.0375.s.3.1.sequence	"[4,5)"
1235.sp1027	"[4,5)"
1883.2011.493.Crump.Artic.LTREB.main.lane4.NoIndex	"[4,5)"
1235.sp1587	"[4,5)"
804.3867.1228.4	"[4,5)"
1222.2B2.5.6.06	"[4,5)"
662.M29	"[4,5)"
1240.0505B	"[4,5)"
1222.B3.5.21.06	"[4,5)"
662.M31	"[4,5)"
1883.2011.495.Crump.Artic.LTREB.main.lane4.NoIndex	"[4,5)"
1235.sp1580	"[4,5)"
1235.sp1550	"[4,5)"
1222.B6.5.14.06	"[4,5)"
1235.sp1546	"[4,5)"
1235.sp0373	"[4,5)"
662.M4	"[4,5)"
723.AcidCtrl1.G3.Catlin2.16Spool.110602.HWI.EAS137R.0375.s.5.1.sequence	"[4,5)"
1222.B6.5.19.06	"[4,5)"
1235.sp1390	"[4,5)"
1235.sp0382	"[4,5)"
2080.S39D435	"[4,5)"
1883.2011.53.Crump.Artic.LTREB.main.lane4.NoIndex	"[4,5)"
1235.sp1392	"[4,5)"
1222.B6.5.11.06	"[4,5)"
1235.sp1926	"[4,5)"
723.AcidMid1.G3.Catlin2.16Spool.110602.HWI.EAS137R.0375.s.5.1.sequence	"[4,5)"
662.M27	"[4,5)"
1235.sp0368	"[4,5)"
1240.2704B	"[4,5)"
1235.sp1557	"[4,5)"
1235.sp1944	"[4,5)"
1235.sp1934	"[4,5)"
1235.sp1380	"[4,5)"
1673.MBS1.2	"[4,5)"
723.IC3.S2.G3.Catlin2.16Spool.110602.HWI.EAS137R.0375.s.5.1.sequence	"[4,5)"
1240.2105BCDNA	"[4,5)"
1235.sp0333	"[4,5)"
1235.sp1540	"[4,5)"
1235.sp0347	"[4,5)"
723.C7.10m.G3.Catlin1.16Spool.110602.HWI.EAS137R.0375.s.3.1.sequence	"[4,5)"
1235.sp0317	"[4,5)"
1235.sp1644	"[4,5)"
1235.sp0344	"[4,5)"
1235.sp1379	"[4,5)"
2080.S63D2585	"[4,5)"
1235.sp1568	"[4,5)"
2080.S71D4336	"[4,5)"
1235.sp1395	"[4,5)"
1235.sp1536	"[4,5)"
905.PLO6.t3.OSCOX.0to1cm.1	"[4,5)"
1222.B4.5.9.06	"[4,5)"
1235.sp1561	"[4,5)"
810.1230A1H1	"[4,5)"
723.C11.10m.G3.Catlin1.16Spool.110602.HWI.EAS137R.0375.s.3.1.sequence	"[4,5)"
1235.sp1533	"[4,5)"
723.IC2.S1.L3.Catlin2.16Spool.110602.HWI.EAS137R.0375.s.5.1.sequence	"[4,5)"
1235.sp0354	"[4,5)"
1235.sp1579	"[4,5)"
